"network","drug_pair","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","max.adjacency","mean.min.bet","mean.max.bet","mean.mean.bet","Drug1","Drug2","drugdrug","code_3letter1","code_3letter2","drug_cat","drug_category1","drug_category2","categorycategory","targ","targeted_cellular_process1","targeted_cellular_process2","processprocess","us","use1","use2","useuse","ebw","ecr","seo","stm","pae","pau","int_sign_ebw","int_sign_ecr","int_sign_seo","int_sign_stm","int_sign_pae","int_sign_pau","ebw_g","ecr_g","seo_g","stm_g","pae_g","pau_g","sum_g","SR_ebw_D1","SR_ecr_D1","SR_stm_D1","SR_seo_D1","SR_pae_D1","SR_pau_D1","SR_ebw_D2","SR_ecr_D2","SR_stm_D2","SR_seo_D2","SR_pae_D2","SR_pau_D2","SR_ebw","SR_ecr","SR_stm","SR_seo","SR_pae","SR_pau","SR_score_ebw","SR_score_ecr","SR_score_stm","SR_score_seo","SR_score_pae","SR_score_pau","SR_score_total","HDC_ebw_D1","HDC_ecr_D1","HDC_stm_D1","HDC_seo_D1","HDC_pae_D1","HDC_pau_D1","LF_ebw_D1","LF_ecr_D1","LF_stm_D1","LF_seo_D1","LF_pae_D1","LF_pau_D1","HDC_ebw_D2","HDC_ecr_D2","HDC_stm_D2","HDC_seo_D2","HDC_pae_D2","HDC_pau_D2","LF_ebw_D2","LF_ecr_D2","LF_stm_D2","LF_seo_D2","LF_pae_D2","LF_pau_D2","clusters","sigma.rate","type","connection_onoff"
"High-throughput PPI","Mecillinam_Rifampicin",2,9,9,99,54,"0",2660.131,52182.9237,27421.5273,"Mecillinam","Rifampicin","Mecillinam-Rifampicin","MEC","RIF",0,"beta-lactam","RNA polymerase","beta-lactam-RNA polymerase",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.132687477,0.295773878,0.242164792,0.217173178,0.042675943,0.029854301,"Additivity","Antagonism","Antagonism","Antagonism","Additivity","Additivity",0,1,1,1,0,0,3,"S","S","S","S","R","R","S","S","S","S","S","R","SS","SS","SS","SS","RS","RR",-1,-1,-1,-1,0,1,-3,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,8,8,8,8,16,20,0.41,0,0.17,0,0,0.87,1,0.00354172479112979,"Additivity-Antagonism","connected"
"Similar genomic context","Mecillinam_Rifampicin",4,14,14,21,17.5,"0",2138.3353,3899.7303,3019.0328,"Mecillinam","Rifampicin","Mecillinam-Rifampicin","MEC","RIF",0,"beta-lactam","RNA polymerase","beta-lactam-RNA polymerase",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.132687477,0.295773878,0.242164792,0.217173178,0.042675943,0.029854301,"Additivity","Antagonism","Antagonism","Antagonism","Additivity","Additivity",0,1,1,1,0,0,3,"S","S","S","S","R","R","S","S","S","S","S","R","SS","SS","SS","SS","RS","RR",-1,-1,-1,-1,0,1,-3,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,8,8,8,8,16,20,0.41,0,0.17,0,0,0.87,1,0.00354172479112979,"Additivity-Antagonism","connected"
"EN:allnetworks","Mecillinam_Rifampicin",2,56,56,92,74,"0",3816.6923,4573.6928,4195.1925,"Mecillinam","Rifampicin","Mecillinam-Rifampicin","MEC","RIF",0,"beta-lactam","RNA polymerase","beta-lactam-RNA polymerase",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.132687477,0.295773878,0.242164792,0.217173178,0.042675943,0.029854301,"Additivity","Antagonism","Antagonism","Antagonism","Additivity","Additivity",0,1,1,1,0,0,3,"S","S","S","S","R","R","S","S","S","S","S","R","SS","SS","SS","SS","RS","RR",-1,-1,-1,-1,0,1,-3,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,8,8,8,8,16,20,0.41,0,0.17,0,0,0.87,1,0.00354172479112979,"Additivity-Antagonism","connected"
"Co-expression","Mecillinam_Rifampicin",2,58,58,78,68,"0",4239.7448,7817.4804,6028.6126,"Mecillinam","Rifampicin","Mecillinam-Rifampicin","MEC","RIF",0,"beta-lactam","RNA polymerase","beta-lactam-RNA polymerase",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.132687477,0.295773878,0.242164792,0.217173178,0.042675943,0.029854301,"Additivity","Antagonism","Antagonism","Antagonism","Additivity","Additivity",0,1,1,1,0,0,3,"S","S","S","S","R","R","S","S","S","S","S","R","SS","SS","SS","SS","RS","RR",-1,-1,-1,-1,0,1,-3,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,8,8,8,8,16,20,0.41,0,0.17,0,0,0.87,1,0.00354172479112979,"Additivity-Antagonism","connected"
"High-throughput PPI","Mecillinam_Sulfamonomethoxine",5,1,1,9,5,"0",0,2660.131,1330.0655,"Mecillinam","Sulfamonomethoxine","Mecillinam-Sulfamonomethoxine","MEC","SMM",0,"beta-lactam","folic acid biosynthesis","beta-lactam-folic acid biosynthesis",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.115221769,-0.05037104,0.068151067,-0.06126872,0.037195599,-0.038624628,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","R","R","R","R","R","R","SR","SR","SR","SR","RR","RR",0,0,0,0,1,1,2,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,50,50,50,50,100,100,0.88,0.88,0.85,0.88,0.77,0.81,7,0.00242149473711998,"Additivity","connected"
"Similar phylogenetic profiles","Mecillinam_Sulfamonomethoxine",7,1,2,3,2.5,"0",137.5259,1744,940.7629,"Mecillinam","Sulfamonomethoxine","Mecillinam-Sulfamonomethoxine","MEC","SMM",0,"beta-lactam","folic acid biosynthesis","beta-lactam-folic acid biosynthesis",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.115221769,-0.05037104,0.068151067,-0.06126872,0.037195599,-0.038624628,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","R","R","R","R","R","R","SR","SR","SR","SR","RR","RR",0,0,0,0,1,1,2,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,50,50,50,50,100,100,0.88,0.88,0.85,0.88,0.77,0.81,7,0.00242149473711998,"Additivity","connected"
"Co-expression","Mecillinam_Sulfamonomethoxine",3,13,13,63,38,"0",1923.7276,7817.4804,4870.604,"Mecillinam","Sulfamonomethoxine","Mecillinam-Sulfamonomethoxine","MEC","SMM",0,"beta-lactam","folic acid biosynthesis","beta-lactam-folic acid biosynthesis",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.115221769,-0.05037104,0.068151067,-0.06126872,0.037195599,-0.038624628,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","R","R","R","R","R","R","SR","SR","SR","SR","RR","RR",0,0,0,0,1,1,2,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,50,50,50,50,100,100,0.88,0.88,0.85,0.88,0.77,0.81,7,0.00242149473711998,"Additivity","connected"
"Similar genomic context","Mecillinam_Sulfamonomethoxine",4,14,14,17,15.5,"0",2138.3353,7424.43,4781.3826,"Mecillinam","Sulfamonomethoxine","Mecillinam-Sulfamonomethoxine","MEC","SMM",0,"beta-lactam","folic acid biosynthesis","beta-lactam-folic acid biosynthesis",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.115221769,-0.05037104,0.068151067,-0.06126872,0.037195599,-0.038624628,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","R","R","R","R","R","R","SR","SR","SR","SR","RR","RR",0,0,0,0,1,1,2,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,50,50,50,50,100,100,0.88,0.88,0.85,0.88,0.77,0.81,7,0.00242149473711998,"Additivity","connected"
"Co-functional (EcoCyc/GO-BP)","Mecillinam_Sulfamonomethoxine",1,21,21,72,46.5,"1",5024.9207,56411.2154,30718.0681,"Mecillinam","Sulfamonomethoxine","Mecillinam-Sulfamonomethoxine","MEC","SMM",0,"beta-lactam","folic acid biosynthesis","beta-lactam-folic acid biosynthesis",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.115221769,-0.05037104,0.068151067,-0.06126872,0.037195599,-0.038624628,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","R","R","R","R","R","R","SR","SR","SR","SR","RR","RR",0,0,0,0,1,1,2,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,50,50,50,50,100,100,0.88,0.88,0.85,0.88,0.77,0.81,7,0.00242149473711998,"Additivity","connected"
"Co-functional (GO-BP)","Mecillinam_Sulfamonomethoxine",1,21,21,72,46.5,"1",1579.5,35969.1842,18774.3421,"Mecillinam","Sulfamonomethoxine","Mecillinam-Sulfamonomethoxine","MEC","SMM",0,"beta-lactam","folic acid biosynthesis","beta-lactam-folic acid biosynthesis",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.115221769,-0.05037104,0.068151067,-0.06126872,0.037195599,-0.038624628,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","R","R","R","R","R","R","SR","SR","SR","SR","RR","RR",0,0,0,0,1,1,2,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,50,50,50,50,100,100,0.88,0.88,0.85,0.88,0.77,0.81,7,0.00242149473711998,"Additivity","connected"
"Co-citation","Mecillinam_Sulfamonomethoxine",2,46,46,86,66,"0",522.191,652.5992,587.3951,"Mecillinam","Sulfamonomethoxine","Mecillinam-Sulfamonomethoxine","MEC","SMM",0,"beta-lactam","folic acid biosynthesis","beta-lactam-folic acid biosynthesis",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.115221769,-0.05037104,0.068151067,-0.06126872,0.037195599,-0.038624628,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","R","R","R","R","R","R","SR","SR","SR","SR","RR","RR",0,0,0,0,1,1,2,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,50,50,50,50,100,100,0.88,0.88,0.85,0.88,0.77,0.81,7,0.00242149473711998,"Additivity","connected"
"EN:allnetworks","Mecillinam_Sulfamonomethoxine",3,56,56,59,57.5,"0",2740.1784,3816.6923,3278.4354,"Mecillinam","Sulfamonomethoxine","Mecillinam-Sulfamonomethoxine","MEC","SMM",0,"beta-lactam","folic acid biosynthesis","beta-lactam-folic acid biosynthesis",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.115221769,-0.05037104,0.068151067,-0.06126872,0.037195599,-0.038624628,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","R","R","R","R","R","R","SR","SR","SR","SR","RR","RR",0,0,0,0,1,1,2,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,50,50,50,50,100,100,0.88,0.88,0.85,0.88,0.77,0.81,7,0.00242149473711998,"Additivity","connected"
"Co-occurence of prot. domains","Mecillinam_Triclosan",Inf,0,1,16,8.5,"0",0,0.0667,0.0333,"Mecillinam","Triclosan","Mecillinam-Triclosan","MEC","TRI",0,"beta-lactam","other membrane","beta-lactam-other membrane",0,"cell wall","membrane","cell wall-membrane",0,"antibiotic","anti-infective","anti-infective-antibiotic",-0.08638066,-0.08577841,-0.037504893,-0.029923796,-0.038245059,0.039273208,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","R","R","R","R","R","R","SR","SR","SR","SR","RR","RR",0,0,0,0,1,1,2,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,0.04,0.04,0.04,0.04,0.04,0.04,1,1,0.98,1,0.97,0.99,3,0.00214421771594242,"Additivity","disconnected"
"Similar phylogenetic profiles","Mecillinam_Triclosan",6,1,2,13,7.5,"0",361.9785,1744,1052.9893,"Mecillinam","Triclosan","Mecillinam-Triclosan","MEC","TRI",0,"beta-lactam","other membrane","beta-lactam-other membrane",0,"cell wall","membrane","cell wall-membrane",0,"antibiotic","anti-infective","anti-infective-antibiotic",-0.08638066,-0.08577841,-0.037504893,-0.029923796,-0.038245059,0.039273208,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","R","R","R","R","R","R","SR","SR","SR","SR","RR","RR",0,0,0,0,1,1,2,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,0.04,0.04,0.04,0.04,0.04,0.04,1,1,0.98,1,0.97,0.99,3,0.00214421771594242,"Additivity","connected"
"Small/medium-scale PPI","Mecillinam_Triclosan",4,1,1,1,1,"0",0,0,0,"Mecillinam","Triclosan","Mecillinam-Triclosan","MEC","TRI",0,"beta-lactam","other membrane","beta-lactam-other membrane",0,"cell wall","membrane","cell wall-membrane",0,"antibiotic","anti-infective","anti-infective-antibiotic",-0.08638066,-0.08577841,-0.037504893,-0.029923796,-0.038245059,0.039273208,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","R","R","R","R","R","R","SR","SR","SR","SR","RR","RR",0,0,0,0,1,1,2,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,0.04,0.04,0.04,0.04,0.04,0.04,1,1,0.98,1,0.97,0.99,3,0.00214421771594242,"Additivity","connected"
"Co-functional (GO-BP)","Mecillinam_Triclosan",2,7,13,72,42.5,"0",5315.8481,35969.1842,20642.5161,"Mecillinam","Triclosan","Mecillinam-Triclosan","MEC","TRI",0,"beta-lactam","other membrane","beta-lactam-other membrane",0,"cell wall","membrane","cell wall-membrane",0,"antibiotic","anti-infective","anti-infective-antibiotic",-0.08638066,-0.08577841,-0.037504893,-0.029923796,-0.038245059,0.039273208,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","R","R","R","R","R","R","SR","SR","SR","SR","RR","RR",0,0,0,0,1,1,2,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,0.04,0.04,0.04,0.04,0.04,0.04,1,1,0.98,1,0.97,0.99,3,0.00214421771594242,"Additivity","connected"
"High-throughput PPI","Mecillinam_Triclosan",3,9,9,11,10,"0",2660.131,9498.7714,6079.4512,"Mecillinam","Triclosan","Mecillinam-Triclosan","MEC","TRI",0,"beta-lactam","other membrane","beta-lactam-other membrane",0,"cell wall","membrane","cell wall-membrane",0,"antibiotic","anti-infective","anti-infective-antibiotic",-0.08638066,-0.08577841,-0.037504893,-0.029923796,-0.038245059,0.039273208,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","R","R","R","R","R","R","SR","SR","SR","SR","RR","RR",0,0,0,0,1,1,2,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,0.04,0.04,0.04,0.04,0.04,0.04,1,1,0.98,1,0.97,0.99,3,0.00214421771594242,"Additivity","connected"
"Co-citation","Mecillinam_Triclosan",3,12,12,46,29,"0",23.6108,522.191,272.9009,"Mecillinam","Triclosan","Mecillinam-Triclosan","MEC","TRI",0,"beta-lactam","other membrane","beta-lactam-other membrane",0,"cell wall","membrane","cell wall-membrane",0,"antibiotic","anti-infective","anti-infective-antibiotic",-0.08638066,-0.08577841,-0.037504893,-0.029923796,-0.038245059,0.039273208,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","R","R","R","R","R","R","SR","SR","SR","SR","RR","RR",0,0,0,0,1,1,2,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,0.04,0.04,0.04,0.04,0.04,0.04,1,1,0.98,1,0.97,0.99,3,0.00214421771594242,"Additivity","connected"
"Similar genomic context","Mecillinam_Triclosan",3,14,14,24,19,"0",2138.3353,9793.1412,5965.7382,"Mecillinam","Triclosan","Mecillinam-Triclosan","MEC","TRI",0,"beta-lactam","other membrane","beta-lactam-other membrane",0,"cell wall","membrane","cell wall-membrane",0,"antibiotic","anti-infective","anti-infective-antibiotic",-0.08638066,-0.08577841,-0.037504893,-0.029923796,-0.038245059,0.039273208,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","R","R","R","R","R","R","SR","SR","SR","SR","RR","RR",0,0,0,0,1,1,2,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,0.04,0.04,0.04,0.04,0.04,0.04,1,1,0.98,1,0.97,0.99,3,0.00214421771594242,"Additivity","connected"
"Co-functional (EcoCyc/GO-BP)","Mecillinam_Triclosan",2,17,17,72,44.5,"0",1764.6435,56411.2154,29087.9295,"Mecillinam","Triclosan","Mecillinam-Triclosan","MEC","TRI",0,"beta-lactam","other membrane","beta-lactam-other membrane",0,"cell wall","membrane","cell wall-membrane",0,"antibiotic","anti-infective","anti-infective-antibiotic",-0.08638066,-0.08577841,-0.037504893,-0.029923796,-0.038245059,0.039273208,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","R","R","R","R","R","R","SR","SR","SR","SR","RR","RR",0,0,0,0,1,1,2,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,0.04,0.04,0.04,0.04,0.04,0.04,1,1,0.98,1,0.97,0.99,3,0.00214421771594242,"Additivity","connected"
"Co-expression","Mecillinam_Triclosan",2,56,56,63,59.5,"0",3493.3696,7817.4804,5655.425,"Mecillinam","Triclosan","Mecillinam-Triclosan","MEC","TRI",0,"beta-lactam","other membrane","beta-lactam-other membrane",0,"cell wall","membrane","cell wall-membrane",0,"antibiotic","anti-infective","anti-infective-antibiotic",-0.08638066,-0.08577841,-0.037504893,-0.029923796,-0.038245059,0.039273208,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","R","R","R","R","R","R","SR","SR","SR","SR","RR","RR",0,0,0,0,1,1,2,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,0.04,0.04,0.04,0.04,0.04,0.04,1,1,0.98,1,0.97,0.99,3,0.00214421771594242,"Additivity","connected"
"EN:allnetworks","Mecillinam_Triclosan",2,56,56,78,67,"0",3816.6923,5873.8019,4845.2471,"Mecillinam","Triclosan","Mecillinam-Triclosan","MEC","TRI",0,"beta-lactam","other membrane","beta-lactam-other membrane",0,"cell wall","membrane","cell wall-membrane",0,"antibiotic","anti-infective","anti-infective-antibiotic",-0.08638066,-0.08577841,-0.037504893,-0.029923796,-0.038245059,0.039273208,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","R","R","R","R","R","R","R","R","SR","SR","SR","SR","RR","RR",0,0,0,0,1,1,2,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,0.04,0.04,0.04,0.04,0.04,0.04,1,1,0.98,1,0.97,0.99,3,0.00214421771594242,"Additivity","connected"
"Similar phylogenetic profiles","Mecillinam_Trimethoprim",7,1,2,7,4.5,"0",122.1128,1744,933.0564,"Mecillinam","Trimethoprim","Mecillinam-Trimethoprim","MEC","TMP",0,"beta-lactam","folic acid biosynthesis","beta-lactam-folic acid biosynthesis",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.228821859,0.091123237,0.130445933,0.12762232,-0.046041549,-0.034668575,"Synergy","Additivity","Additivity","Additivity","Additivity","Additivity",-1,0,0,0,0,0,-1,"S","S","S","S","R","R","S","S","S","S","R","R","SS","SS","SS","SS","RR","RR",-1,-1,-1,-1,1,1,-2,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,0.5,0.5,0.5,0.5,1,1,0.49,0.46,0.53,0.46,0.83,0.85,10,0.00168415933113605,"Additivity-Synergy","connected"
"High-throughput PPI","Mecillinam_Trimethoprim",4,8,9,9,9,"0",2660.131,5951.8972,4306.0141,"Mecillinam","Trimethoprim","Mecillinam-Trimethoprim","MEC","TMP",0,"beta-lactam","folic acid biosynthesis","beta-lactam-folic acid biosynthesis",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.228821859,0.091123237,0.130445933,0.12762232,-0.046041549,-0.034668575,"Synergy","Additivity","Additivity","Additivity","Additivity","Additivity",-1,0,0,0,0,0,-1,"S","S","S","S","R","R","S","S","S","S","R","R","SS","SS","SS","SS","RR","RR",-1,-1,-1,-1,1,1,-2,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,0.5,0.5,0.5,0.5,1,1,0.49,0.46,0.53,0.46,0.83,0.85,10,0.00168415933113605,"Additivity-Synergy","connected"
"Co-expression","Mecillinam_Trimethoprim",3,9,9,63,36,"0",1510.1246,7817.4804,4663.8025,"Mecillinam","Trimethoprim","Mecillinam-Trimethoprim","MEC","TMP",0,"beta-lactam","folic acid biosynthesis","beta-lactam-folic acid biosynthesis",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.228821859,0.091123237,0.130445933,0.12762232,-0.046041549,-0.034668575,"Synergy","Additivity","Additivity","Additivity","Additivity","Additivity",-1,0,0,0,0,0,-1,"S","S","S","S","R","R","S","S","S","S","R","R","SS","SS","SS","SS","RR","RR",-1,-1,-1,-1,1,1,-2,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,0.5,0.5,0.5,0.5,1,1,0.49,0.46,0.53,0.46,0.83,0.85,10,0.00168415933113605,"Additivity-Synergy","connected"
"Similar genomic context","Mecillinam_Trimethoprim",3,11,11,14,12.5,"0",2138.3353,2743.1154,2440.7253,"Mecillinam","Trimethoprim","Mecillinam-Trimethoprim","MEC","TMP",0,"beta-lactam","folic acid biosynthesis","beta-lactam-folic acid biosynthesis",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.228821859,0.091123237,0.130445933,0.12762232,-0.046041549,-0.034668575,"Synergy","Additivity","Additivity","Additivity","Additivity","Additivity",-1,0,0,0,0,0,-1,"S","S","S","S","R","R","S","S","S","S","R","R","SS","SS","SS","SS","RR","RR",-1,-1,-1,-1,1,1,-2,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,0.5,0.5,0.5,0.5,1,1,0.49,0.46,0.53,0.46,0.83,0.85,10,0.00168415933113605,"Additivity-Synergy","connected"
"Co-functional (GO-BP)","Mecillinam_Trimethoprim",1,21,21,72,46.5,"1",1579.5,35969.1842,18774.3421,"Mecillinam","Trimethoprim","Mecillinam-Trimethoprim","MEC","TMP",0,"beta-lactam","folic acid biosynthesis","beta-lactam-folic acid biosynthesis",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.228821859,0.091123237,0.130445933,0.12762232,-0.046041549,-0.034668575,"Synergy","Additivity","Additivity","Additivity","Additivity","Additivity",-1,0,0,0,0,0,-1,"S","S","S","S","R","R","S","S","S","S","R","R","SS","SS","SS","SS","RR","RR",-1,-1,-1,-1,1,1,-2,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,0.5,0.5,0.5,0.5,1,1,0.49,0.46,0.53,0.46,0.83,0.85,10,0.00168415933113605,"Additivity-Synergy","connected"
"Co-functional (EcoCyc/GO-BP)","Mecillinam_Trimethoprim",1,32,32,72,52,"1",24687.8543,56411.2154,40549.5349,"Mecillinam","Trimethoprim","Mecillinam-Trimethoprim","MEC","TMP",0,"beta-lactam","folic acid biosynthesis","beta-lactam-folic acid biosynthesis",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.228821859,0.091123237,0.130445933,0.12762232,-0.046041549,-0.034668575,"Synergy","Additivity","Additivity","Additivity","Additivity","Additivity",-1,0,0,0,0,0,-1,"S","S","S","S","R","R","S","S","S","S","R","R","SS","SS","SS","SS","RR","RR",-1,-1,-1,-1,1,1,-2,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,0.5,0.5,0.5,0.5,1,1,0.49,0.46,0.53,0.46,0.83,0.85,10,0.00168415933113605,"Additivity-Synergy","connected"
"Co-citation","Mecillinam_Trimethoprim",2,46,46,132,89,"0",522.191,4374.1902,2448.1906,"Mecillinam","Trimethoprim","Mecillinam-Trimethoprim","MEC","TMP",0,"beta-lactam","folic acid biosynthesis","beta-lactam-folic acid biosynthesis",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.228821859,0.091123237,0.130445933,0.12762232,-0.046041549,-0.034668575,"Synergy","Additivity","Additivity","Additivity","Additivity","Additivity",-1,0,0,0,0,0,-1,"S","S","S","S","R","R","S","S","S","S","R","R","SS","SS","SS","SS","RR","RR",-1,-1,-1,-1,1,1,-2,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,0.5,0.5,0.5,0.5,1,1,0.49,0.46,0.53,0.46,0.83,0.85,10,0.00168415933113605,"Additivity-Synergy","connected"
"EN:allnetworks","Mecillinam_Trimethoprim",2,56,56,71,63.5,"0",2703.0613,3816.6923,3259.8768,"Mecillinam","Trimethoprim","Mecillinam-Trimethoprim","MEC","TMP",0,"beta-lactam","folic acid biosynthesis","beta-lactam-folic acid biosynthesis",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.228821859,0.091123237,0.130445933,0.12762232,-0.046041549,-0.034668575,"Synergy","Additivity","Additivity","Additivity","Additivity","Additivity",-1,0,0,0,0,0,-1,"S","S","S","S","R","R","S","S","S","S","R","R","SS","SS","SS","SS","RR","RR",-1,-1,-1,-1,1,1,-2,0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,0.5,0.5,0.5,0.5,1,1,0.49,0.46,0.53,0.46,0.83,0.85,10,0.00168415933113605,"Additivity-Synergy","connected"
"Similar phylogenetic profiles","Meropenem_Novobiocin",5.5,1.5,1.75,8,4.875,"0",5.6284,452.8853,229.2569,"Meropenem","Novobiocin","Meropenem-Novobiocin","MEM","NVB",0,"beta-lactam","quinolones","beta-lactam-quinolones",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.07408943,-0.1000427,-0.1620225,-0.02512526,0.04914106,-0.0358273,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity",0,0,0,0,0,0,0,"S","S","S","S","S","S","S","S","R","S","R","R","SS","SS","SR","SS","SR","SR",-1,-1,0,-1,0,0,-3,0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,20,20,20,20,20,20,0.45,0,0.85,0.28,0.86,0.91,4,0.0014377877458812,"Additivity","connected"
