"network","drug_pair","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","max.adjacency","Drug1","Drug2","drugdrug","code_3letter1","code_3letter2","drug_cat","drug_category1","drug_category2","categorycategory","targ","targeted_cellular_process1","targeted_cellular_process2","processprocess","us","use1","use2","useuse","ebw","ecr","seo","stm","pae","pau","int_sign_ebw","int_sign_ecr","int_sign_seo","int_sign_stm","int_sign_pae","int_sign_pau","ebw_g","ecr_g","seo_g","stm_g","pae_g","pau_g","sum_g","SR_ebw_D1","SR_ecr_D1","SR_stm_D1","SR_seo_D1","SR_pae_D1","SR_pau_D1","SR_ebw_D2","SR_ecr_D2","SR_stm_D2","SR_seo_D2","SR_pae_D2","SR_pau_D2","SR_ebw","SR_ecr","SR_stm","SR_seo","SR_pae","SR_pau","SR_score_ebw","SR_score_ecr","SR_score_stm","SR_score_seo","SR_score_pae","SR_score_pau","SR_score_total","HDC_ebw_D1","HDC_ecr_D1","HDC_stm_D1","HDC_seo_D1","HDC_pae_D1","HDC_pau_D1","LF_ebw_D1","LF_ecr_D1","LF_stm_D1","LF_seo_D1","LF_pae_D1","LF_pau_D1","HDC_ebw_D2","HDC_ecr_D2","HDC_stm_D2","HDC_seo_D2","HDC_pae_D2","HDC_pau_D2","LF_ebw_D2","LF_ecr_D2","LF_stm_D2","LF_seo_D2","LF_pae_D2","LF_pau_D2","clusters","sigma.rate","type","connection_onoff"
"EN:allnetworks","Fosfomycin_Moxifloxacin",2.25,50.5,50.5,67.75,59.125,"0","Fosfomycin","Moxifloxacin","Fosfomycin-Moxifloxacin","FOF","MXF",0,"other cell wall","quinolones","other cell wall-quinolones",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.117704748,0.144766913,0.149502132,0.102884049,-0.101723088,-0.039832833,"Additivity","Antagonism","Additivity","Additivity","Additivity","Additivity",0,1,0,0,0,0,1,"S","S","S","R","S","S","S","S","S","S","R","S","SS","SS","SS","RS","SR","SS",-1,-1,-1,0,0,-1,-4,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,0.08,0.08,0.08,0.08,0.5,0.5,0,0.04,0.64,0,0.96,0.67,1,0.00318999362915508,"Additivity-Antagonism","connected"
"High-throughput PPI","Fosfomycin_Novobiocin",3,11,11,36.5,23.75,"0","Fosfomycin","Novobiocin","Fosfomycin-Novobiocin","FOF","NVB",0,"other cell wall","quinolones","other cell wall-quinolones",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.3053796,0.206551921,0.080298519,-0.130224064,-0.145595253,-0.063770157,"Antagonism","Antagonism","Additivity","Synergy","Synergy","Additivity",1,1,0,-1,-1,0,0,"S","S","S","R","S","S","S","S","R","S","R","R","SS","SS","SR","RS","SR","SR",-1,-1,0,0,0,0,-2,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,20,20,20,20,20,20,0.45,0,0.85,0.28,0.86,0.91,3,0.00301397308867962,"Additivity-Antagonism-Synergy","connected"
"Co-functional (GO-BP)","Fosfomycin_Novobiocin",2,19,19,20,19.5,"0","Fosfomycin","Novobiocin","Fosfomycin-Novobiocin","FOF","NVB",0,"other cell wall","quinolones","other cell wall-quinolones",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.3053796,0.206551921,0.080298519,-0.130224064,-0.145595253,-0.063770157,"Antagonism","Antagonism","Additivity","Synergy","Synergy","Additivity",1,1,0,-1,-1,0,0,"S","S","S","R","S","S","S","S","R","S","R","R","SS","SS","SR","RS","SR","SR",-1,-1,0,0,0,0,-2,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,20,20,20,20,20,20,0.45,0,0.85,0.28,0.86,0.91,3,0.00301397308867962,"Additivity-Antagonism-Synergy","connected"
"Co-functional (EcoCyc/GO-BP)","Fosfomycin_Novobiocin",2,20,20,27,23.5,"0","Fosfomycin","Novobiocin","Fosfomycin-Novobiocin","FOF","NVB",0,"other cell wall","quinolones","other cell wall-quinolones",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.3053796,0.206551921,0.080298519,-0.130224064,-0.145595253,-0.063770157,"Antagonism","Antagonism","Additivity","Synergy","Synergy","Additivity",1,1,0,-1,-1,0,0,"S","S","S","R","S","S","S","S","R","S","R","R","SS","SS","SR","RS","SR","SR",-1,-1,0,0,0,0,-2,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,20,20,20,20,20,20,0.45,0,0.85,0.28,0.86,0.91,3,0.00301397308867962,"Additivity-Antagonism-Synergy","connected"
"Similar genomic context","Fosfomycin_Novobiocin",3,24,24,46,35,"0","Fosfomycin","Novobiocin","Fosfomycin-Novobiocin","FOF","NVB",0,"other cell wall","quinolones","other cell wall-quinolones",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.3053796,0.206551921,0.080298519,-0.130224064,-0.145595253,-0.063770157,"Antagonism","Antagonism","Additivity","Synergy","Synergy","Additivity",1,1,0,-1,-1,0,0,"S","S","S","R","S","S","S","S","R","S","R","R","SS","SS","SR","RS","SR","SR",-1,-1,0,0,0,0,-2,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,20,20,20,20,20,20,0.45,0,0.85,0.28,0.86,0.91,3,0.00301397308867962,"Additivity-Antagonism-Synergy","connected"
"Co-expression","Fosfomycin_Novobiocin",2,43.5,43.5,55.5,49.5,"0","Fosfomycin","Novobiocin","Fosfomycin-Novobiocin","FOF","NVB",0,"other cell wall","quinolones","other cell wall-quinolones",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.3053796,0.206551921,0.080298519,-0.130224064,-0.145595253,-0.063770157,"Antagonism","Antagonism","Additivity","Synergy","Synergy","Additivity",1,1,0,-1,-1,0,0,"S","S","S","R","S","S","S","S","R","S","R","R","SS","SS","SR","RS","SR","SR",-1,-1,0,0,0,0,-2,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,20,20,20,20,20,20,0.45,0,0.85,0.28,0.86,0.91,3,0.00301397308867962,"Additivity-Antagonism-Synergy","connected"
"EN:allnetworks","Fosfomycin_Novobiocin",2,56.5,56.5,68.5,62.5,"0","Fosfomycin","Novobiocin","Fosfomycin-Novobiocin","FOF","NVB",0,"other cell wall","quinolones","other cell wall-quinolones",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.3053796,0.206551921,0.080298519,-0.130224064,-0.145595253,-0.063770157,"Antagonism","Antagonism","Additivity","Synergy","Synergy","Additivity",1,1,0,-1,-1,0,0,"S","S","S","R","S","S","S","S","R","S","R","R","SS","SS","SR","RS","SR","SR",-1,-1,0,0,0,0,-2,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,20,20,20,20,20,20,0.45,0,0.85,0.28,0.86,0.91,3,0.00301397308867962,"Additivity-Antagonism-Synergy","connected"
"High-throughput PPI","Fosfomycin_Penicillin G",3.1667,8.3333,8.5,22.1667,15.3333,"0","Fosfomycin","Penicillin G","Fosfomycin-Penicillin G","FOF","PEN",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.133764513,-0.181619379,-0.260293115,-0.349446487,0.07047952,0.049728644,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity",-1,-1,-1,-1,0,0,-4,"S","S","S","R","S","S","R","S","S","S","R","R","SR","SS","SS","RS","SR","SR",0,-1,-1,0,0,0,-2,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,5,5,1.25,1.25,10,10,0.8,0.67,0.62,0.62,0.93,0.91,5,0.00886746948477885,"Additivity-Synergy","connected"
"Co-functional(EcoCyc)","Fosfomycin_Penicillin G",1,15,15,15,15,"1","Fosfomycin","Penicillin G","Fosfomycin-Penicillin G","FOF","PEN",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.133764513,-0.181619379,-0.260293115,-0.349446487,0.07047952,0.049728644,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity",-1,-1,-1,-1,0,0,-4,"S","S","S","R","S","S","R","S","S","S","R","R","SR","SS","SS","RS","SR","SR",0,-1,-1,0,0,0,-2,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,5,5,1.25,1.25,10,10,0.8,0.67,0.62,0.62,0.93,0.91,5,0.00886746948477885,"Additivity-Synergy","connected"
"Co-expression","Fosfomycin_Penicillin G",2.5,19,19,50.8333,34.9167,"0","Fosfomycin","Penicillin G","Fosfomycin-Penicillin G","FOF","PEN",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.133764513,-0.181619379,-0.260293115,-0.349446487,0.07047952,0.049728644,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity",-1,-1,-1,-1,0,0,-4,"S","S","S","R","S","S","R","S","S","S","R","R","SR","SS","SS","RS","SR","SR",0,-1,-1,0,0,0,-2,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,5,5,1.25,1.25,10,10,0.8,0.67,0.62,0.62,0.93,0.91,5,0.00886746948477885,"Additivity-Synergy","connected"
"Co-functional (GO-BP)","Fosfomycin_Penicillin G",1.3333,19,19,48.6667,33.8333,"1","Fosfomycin","Penicillin G","Fosfomycin-Penicillin G","FOF","PEN",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.133764513,-0.181619379,-0.260293115,-0.349446487,0.07047952,0.049728644,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity",-1,-1,-1,-1,0,0,-4,"S","S","S","R","S","S","R","S","S","S","R","R","SR","SS","SS","RS","SR","SR",0,-1,-1,0,0,0,-2,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,5,5,1.25,1.25,10,10,0.8,0.67,0.62,0.62,0.93,0.91,5,0.00886746948477885,"Additivity-Synergy","connected"
"Similar genomic context","Fosfomycin_Penicillin G",2.5,19.1667,19.3333,46,32.6667,"0","Fosfomycin","Penicillin G","Fosfomycin-Penicillin G","FOF","PEN",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.133764513,-0.181619379,-0.260293115,-0.349446487,0.07047952,0.049728644,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity",-1,-1,-1,-1,0,0,-4,"S","S","S","R","S","S","R","S","S","S","R","R","SR","SS","SS","RS","SR","SR",0,-1,-1,0,0,0,-2,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,5,5,1.25,1.25,10,10,0.8,0.67,0.62,0.62,0.93,0.91,5,0.00886746948477885,"Additivity-Synergy","connected"
"Co-functional (EcoCyc/GO-BP)","Fosfomycin_Penicillin G",1.1667,27,27,53.8333,40.4167,"1","Fosfomycin","Penicillin G","Fosfomycin-Penicillin G","FOF","PEN",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.133764513,-0.181619379,-0.260293115,-0.349446487,0.07047952,0.049728644,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity",-1,-1,-1,-1,0,0,-4,"S","S","S","R","S","S","R","S","S","S","R","R","SR","SS","SS","RS","SR","SR",0,-1,-1,0,0,0,-2,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,5,5,1.25,1.25,10,10,0.8,0.67,0.62,0.62,0.93,0.91,5,0.00886746948477885,"Additivity-Synergy","connected"
"EN:allnetworks","Fosfomycin_Penicillin G",2,55.1667,55.1667,78.8333,67,"0","Fosfomycin","Penicillin G","Fosfomycin-Penicillin G","FOF","PEN",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.133764513,-0.181619379,-0.260293115,-0.349446487,0.07047952,0.049728644,"Synergy","Synergy","Synergy","Synergy","Additivity","Additivity",-1,-1,-1,-1,0,0,-4,"S","S","S","R","S","S","R","S","S","S","R","R","SR","SS","SS","RS","SR","SR",0,-1,-1,0,0,0,-2,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,5,5,1.25,1.25,10,10,0.8,0.67,0.62,0.62,0.93,0.91,5,0.00886746948477885,"Additivity-Synergy","connected"
"High-throughput PPI","Fosfomycin_Piperacillin",3.1667,8.3333,8.5,22.1667,15.3333,"0","Fosfomycin","Piperacillin","Fosfomycin-Piperacillin","FOF","PIP",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.097494755,-0.294305731,-0.175558805,-0.20345176,-0.086793125,-0.071546249,"Additivity","Synergy","Additivity","Synergy","Additivity","Additivity",0,-1,0,-1,0,0,-2,"S","S","S","R","S","S","R","S","S","S","S","S","SR","SS","SS","RS","SS","SS",0,-1,-1,0,-1,-1,-4,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,0.3,0.3,1,1,2,3,0.8,0.68,0.6,0.62,0,0,2,0.00314893046588041,"Additivity-Synergy","connected"
"Co-functional(EcoCyc)","Fosfomycin_Piperacillin",1,15,15,15,15,"1","Fosfomycin","Piperacillin","Fosfomycin-Piperacillin","FOF","PIP",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.097494755,-0.294305731,-0.175558805,-0.20345176,-0.086793125,-0.071546249,"Additivity","Synergy","Additivity","Synergy","Additivity","Additivity",0,-1,0,-1,0,0,-2,"S","S","S","R","S","S","R","S","S","S","S","S","SR","SS","SS","RS","SS","SS",0,-1,-1,0,-1,-1,-4,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,0.3,0.3,1,1,2,3,0.8,0.68,0.6,0.62,0,0,2,0.00314893046588041,"Additivity-Synergy","connected"
"Co-expression","Fosfomycin_Piperacillin",2.5,19,19,50.8333,34.9167,"0","Fosfomycin","Piperacillin","Fosfomycin-Piperacillin","FOF","PIP",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.097494755,-0.294305731,-0.175558805,-0.20345176,-0.086793125,-0.071546249,"Additivity","Synergy","Additivity","Synergy","Additivity","Additivity",0,-1,0,-1,0,0,-2,"S","S","S","R","S","S","R","S","S","S","S","S","SR","SS","SS","RS","SS","SS",0,-1,-1,0,-1,-1,-4,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,0.3,0.3,1,1,2,3,0.8,0.68,0.6,0.62,0,0,2,0.00314893046588041,"Additivity-Synergy","connected"
"Co-functional (GO-BP)","Fosfomycin_Piperacillin",1.3333,19,19,48.6667,33.8333,"1","Fosfomycin","Piperacillin","Fosfomycin-Piperacillin","FOF","PIP",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.097494755,-0.294305731,-0.175558805,-0.20345176,-0.086793125,-0.071546249,"Additivity","Synergy","Additivity","Synergy","Additivity","Additivity",0,-1,0,-1,0,0,-2,"S","S","S","R","S","S","R","S","S","S","S","S","SR","SS","SS","RS","SS","SS",0,-1,-1,0,-1,-1,-4,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,0.3,0.3,1,1,2,3,0.8,0.68,0.6,0.62,0,0,2,0.00314893046588041,"Additivity-Synergy","connected"
"Similar genomic context","Fosfomycin_Piperacillin",2.5,19.1667,19.3333,46,32.6667,"0","Fosfomycin","Piperacillin","Fosfomycin-Piperacillin","FOF","PIP",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.097494755,-0.294305731,-0.175558805,-0.20345176,-0.086793125,-0.071546249,"Additivity","Synergy","Additivity","Synergy","Additivity","Additivity",0,-1,0,-1,0,0,-2,"S","S","S","R","S","S","R","S","S","S","S","S","SR","SS","SS","RS","SS","SS",0,-1,-1,0,-1,-1,-4,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,0.3,0.3,1,1,2,3,0.8,0.68,0.6,0.62,0,0,2,0.00314893046588041,"Additivity-Synergy","connected"
"Co-functional (EcoCyc/GO-BP)","Fosfomycin_Piperacillin",1.1667,27,27,53.8333,40.4167,"1","Fosfomycin","Piperacillin","Fosfomycin-Piperacillin","FOF","PIP",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.097494755,-0.294305731,-0.175558805,-0.20345176,-0.086793125,-0.071546249,"Additivity","Synergy","Additivity","Synergy","Additivity","Additivity",0,-1,0,-1,0,0,-2,"S","S","S","R","S","S","R","S","S","S","S","S","SR","SS","SS","RS","SS","SS",0,-1,-1,0,-1,-1,-4,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,0.3,0.3,1,1,2,3,0.8,0.68,0.6,0.62,0,0,2,0.00314893046588041,"Additivity-Synergy","connected"
"EN:allnetworks","Fosfomycin_Piperacillin",2,55.1667,55.1667,78.8333,67,"0","Fosfomycin","Piperacillin","Fosfomycin-Piperacillin","FOF","PIP",0,"other cell wall","beta-lactam","beta-lactam-other cell wall",1,"cell wall","cell wall","cell wall-cell wall",1,"antibiotic","antibiotic","antibiotic-antibiotic",-0.097494755,-0.294305731,-0.175558805,-0.20345176,-0.086793125,-0.071546249,"Additivity","Synergy","Additivity","Synergy","Additivity","Additivity",0,-1,0,-1,0,0,-2,"S","S","S","R","S","S","R","S","S","S","S","S","SR","SS","SS","RS","SS","SS",0,-1,-1,0,-1,-1,-4,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,0.3,0.3,1,1,2,3,0.8,0.68,0.6,0.62,0,0,2,0.00314893046588041,"Additivity-Synergy","connected"
"High-throughput PPI","Fosfomycin_Rifampicin",2,11,11,99,55,"0","Fosfomycin","Rifampicin","Fosfomycin-Rifampicin","FOF","RIF",0,"other cell wall","RNA polymerase","other cell wall-RNA polymerase",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.142687297,0.209264496,0.134075873,0.059027446,-0.128280378,-0.06880518,"Antagonism","Antagonism","Additivity","Additivity","Additivity","Additivity",1,1,0,0,0,0,2,"S","S","S","R","S","S","S","S","S","S","S","R","SS","SS","SS","RS","SS","SR",-1,-1,-1,0,-1,0,-4,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,8,8,8,8,16,20,0.41,0,0.17,0,0,0.87,1,0.00318999362915508,"Additivity-Antagonism","connected"
"Similar genomic context","Fosfomycin_Rifampicin",3,21,21,46,33.5,"0","Fosfomycin","Rifampicin","Fosfomycin-Rifampicin","FOF","RIF",0,"other cell wall","RNA polymerase","other cell wall-RNA polymerase",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.142687297,0.209264496,0.134075873,0.059027446,-0.128280378,-0.06880518,"Antagonism","Antagonism","Additivity","Additivity","Additivity","Additivity",1,1,0,0,0,0,2,"S","S","S","R","S","S","S","S","S","S","S","R","SS","SS","SS","RS","SS","SR",-1,-1,-1,0,-1,0,-4,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,8,8,8,8,16,20,0.41,0,0.17,0,0,0.87,1,0.00318999362915508,"Additivity-Antagonism","connected"
"Co-expression","Fosfomycin_Rifampicin",2,44,44,73,58.5,"0","Fosfomycin","Rifampicin","Fosfomycin-Rifampicin","FOF","RIF",0,"other cell wall","RNA polymerase","other cell wall-RNA polymerase",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.142687297,0.209264496,0.134075873,0.059027446,-0.128280378,-0.06880518,"Antagonism","Antagonism","Additivity","Additivity","Additivity","Additivity",1,1,0,0,0,0,2,"S","S","S","R","S","S","S","S","S","S","S","R","SS","SS","SS","RS","SS","SR",-1,-1,-1,0,-1,0,-4,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,8,8,8,8,16,20,0.41,0,0.17,0,0,0.87,1,0.00318999362915508,"Additivity-Antagonism","connected"
"EN:allnetworks","Fosfomycin_Rifampicin",3,67,67,92,79.5,"0","Fosfomycin","Rifampicin","Fosfomycin-Rifampicin","FOF","RIF",0,"other cell wall","RNA polymerase","other cell wall-RNA polymerase",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.142687297,0.209264496,0.134075873,0.059027446,-0.128280378,-0.06880518,"Antagonism","Antagonism","Additivity","Additivity","Additivity","Additivity",1,1,0,0,0,0,2,"S","S","S","R","S","S","S","S","S","S","S","R","SS","SS","SS","RS","SS","SR",-1,-1,-1,0,-1,0,-4,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,8,8,8,8,16,20,0.41,0,0.17,0,0,0.87,1,0.00318999362915508,"Additivity-Antagonism","connected"
"Co-functional(EcoCyc)","Fosfomycin_Trimethoprim",Inf,0,14,15,14.5,"0","Fosfomycin","Trimethoprim","Fosfomycin-Trimethoprim","FOF","TMP",0,"other cell wall","folic acid biosynthesis","folic acid biosynthesis-other cell wall",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.266135173,0.301269277,0.072331519,-0.092080157,-0.035376183,0.097538885,"Antagonism","Antagonism","Additivity","Additivity","Additivity","Additivity",1,1,0,0,0,0,2,"S","S","S","R","S","S","S","S","S","S","R","R","SS","SS","SS","RS","SR","SR",-1,-1,-1,0,0,0,-3,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,0.5,0.5,0.5,0.5,1,1,0.49,0.46,0.53,0.46,0.83,0.85,3,0.00301397308867962,"Additivity-Antagonism","disconnected"
"High-throughput PPI","Fosfomycin_Trimethoprim",3,8,9,11,10,"0","Fosfomycin","Trimethoprim","Fosfomycin-Trimethoprim","FOF","TMP",0,"other cell wall","folic acid biosynthesis","folic acid biosynthesis-other cell wall",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.266135173,0.301269277,0.072331519,-0.092080157,-0.035376183,0.097538885,"Antagonism","Antagonism","Additivity","Additivity","Additivity","Additivity",1,1,0,0,0,0,2,"S","S","S","R","S","S","S","S","S","S","R","R","SS","SS","SS","RS","SR","SR",-1,-1,-1,0,0,0,-3,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,0.5,0.5,0.5,0.5,1,1,0.49,0.46,0.53,0.46,0.83,0.85,3,0.00301397308867962,"Additivity-Antagonism","connected"
"Co-expression","Fosfomycin_Trimethoprim",3,9,9,44,26.5,"0","Fosfomycin","Trimethoprim","Fosfomycin-Trimethoprim","FOF","TMP",0,"other cell wall","folic acid biosynthesis","folic acid biosynthesis-other cell wall",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.266135173,0.301269277,0.072331519,-0.092080157,-0.035376183,0.097538885,"Antagonism","Antagonism","Additivity","Additivity","Additivity","Additivity",1,1,0,0,0,0,2,"S","S","S","R","S","S","S","S","S","S","R","R","SS","SS","SS","RS","SR","SR",-1,-1,-1,0,0,0,-3,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,0.5,0.5,0.5,0.5,1,1,0.49,0.46,0.53,0.46,0.83,0.85,3,0.00301397308867962,"Additivity-Antagonism","connected"
"Similar genomic context","Fosfomycin_Trimethoprim",3,11,11,46,28.5,"0","Fosfomycin","Trimethoprim","Fosfomycin-Trimethoprim","FOF","TMP",0,"other cell wall","folic acid biosynthesis","folic acid biosynthesis-other cell wall",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.266135173,0.301269277,0.072331519,-0.092080157,-0.035376183,0.097538885,"Antagonism","Antagonism","Additivity","Additivity","Additivity","Additivity",1,1,0,0,0,0,2,"S","S","S","R","S","S","S","S","S","S","R","R","SS","SS","SS","RS","SR","SR",-1,-1,-1,0,0,0,-3,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,0.5,0.5,0.5,0.5,1,1,0.49,0.46,0.53,0.46,0.83,0.85,3,0.00301397308867962,"Additivity-Antagonism","connected"
"Co-functional (GO-BP)","Fosfomycin_Trimethoprim",2,19,19,21,20,"0","Fosfomycin","Trimethoprim","Fosfomycin-Trimethoprim","FOF","TMP",0,"other cell wall","folic acid biosynthesis","folic acid biosynthesis-other cell wall",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.266135173,0.301269277,0.072331519,-0.092080157,-0.035376183,0.097538885,"Antagonism","Antagonism","Additivity","Additivity","Additivity","Additivity",1,1,0,0,0,0,2,"S","S","S","R","S","S","S","S","S","S","R","R","SS","SS","SS","RS","SR","SR",-1,-1,-1,0,0,0,-3,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,0.5,0.5,0.5,0.5,1,1,0.49,0.46,0.53,0.46,0.83,0.85,3,0.00301397308867962,"Additivity-Antagonism","connected"
"Co-functional (EcoCyc/GO-BP)","Fosfomycin_Trimethoprim",2,27,27,32,29.5,"0","Fosfomycin","Trimethoprim","Fosfomycin-Trimethoprim","FOF","TMP",0,"other cell wall","folic acid biosynthesis","folic acid biosynthesis-other cell wall",0,"cell wall","DNA","cell wall-DNA",1,"antibiotic","antibiotic","antibiotic-antibiotic",0.266135173,0.301269277,0.072331519,-0.092080157,-0.035376183,0.097538885,"Antagonism","Antagonism","Additivity","Additivity","Additivity","Additivity",1,1,0,0,0,0,2,"S","S","S","R","S","S","S","S","S","S","R","R","SS","SS","SS","RS","SR","SR",-1,-1,-1,0,0,0,-3,0.1,0.1,0.05,0.05,15,5,0.39,0.49,0.65,0.77,0,0,0.5,0.5,0.5,0.5,1,1,0.49,0.46,0.53,0.46,0.83,0.85,3,0.00301397308867962,"Additivity-Antagonism","connected"
