"drug_pair","Drug1","Drug2","mean.path.length","mean.k.edge","mean.min.degree","mean.max.degree","mean.mean.degree","max.adjacency","network","code_3letter1","code_3letter2","drug_category1","drug_category2","targeted_cellular_process1","targeted_cellular_process2","use1","use2","ebw","ecr","seo","stm","pae","pau","int_sign_ebw","int_sign_ecr","int_sign_seo","int_sign_stm","int_sign_pae","int_sign_pau","drug_category","targeted_process","use","drugdrug","categorycategory","processprocess","useuse","HDC_D1_ebw","HDC_D1_ecr","HDC_D1_stm","HDC_D1_seo","HDC_D1_pae","HDC_D1_pau","LF_D1_ebw","LF_D1_ecr","LF_D1_stm","LF_D1_seo","LF_D1_pae","LF_D1_pau","SR_D1_ebw","SR_D1_ecr","SR_D1_stm","SR_D1_seo","SR_D1_pae","SR_D1_pau","HDC_D2_ebw","HDC_D2_ecr","HDC_D2_stm","HDC_D2_seo","HDC_D2_pae","HDC_D2_pau","LF_D2_ebw","LF_D2_ecr","LF_D2_stm","LF_D2_seo","LF_D2_pae","LF_D2_pau","SR_D2_ebw","SR_D2_ecr","SR_D2_stm","SR_D2_seo","SR_D2_pae","SR_D2_pau","clusters","sigma.rate","type","connection_onoff","drug_cat","targ","us","ebw_g","ecr_g","seo_g","stm_g","pae_g","pau_g","sum_g"
"Ciprofloxacin_Piperacillin","Ciprofloxacin","Piperacillin",6,2,2,8,5,"0","Similar phylogenetic profiles","CIP","PIP","quinolones","beta-lactam","DNA","cell wall","antibiotic","antibiotic",-0.103971785,-0.105669288,-0.077545915,0.061773543,-0.124643756,0.116246564,"Additivity","Additivity","Additivity","Additivity","Synergy","Additivity","Different","Different","Same","Ciprofloxacin-Piperacillin","beta-lactam-quinolones","cell wall-DNA","antibiotic-antibiotic",0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,"S","S","S","S","S","S",0.3,0.3,1,1,2,3,0.8,0.68,0.6,0.62,0,0,"R","S","S","S","S","S",4,0.00125176157439658,"Additivity-Synergy","connected",0,0,1,0,0,0,0,-1,0,-1
"Ciprofloxacin_Sulfamonomethoxine","Ciprofloxacin","Sulfamonomethoxine",2,3,3,8,6,"0","Similar phylogenetic profiles","CIP","SMM","quinolones","folic acid biosynthesis","DNA","DNA","antibiotic","antibiotic",0.021078807,-0.04489015,0.029206223,0.037397767,-0.072632516,-0.01982475,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Same","Same","Ciprofloxacin-Sulfamonomethoxine","folic acid biosynthesis-quinolones","DNA-DNA","antibiotic-antibiotic",0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,"S","S","S","S","S","S",50,50,50,50,100,100,0.88,0.88,0.85,0.88,0.77,0.81,"R","R","R","R","R","R",9,0.00113943233689505,"Additivity","connected",0,1,1,0,0,0,0,0,0,0
"Ciprofloxacin_Triclosan","Ciprofloxacin","Triclosan",3,8,8,13,10,"0","Similar phylogenetic profiles","CIP","TRI","quinolones","other membrane","DNA","membrane","antibiotic","anti-infective",-0.071725305,-0.074017284,0.060508797,0.084222911,-0.079367244,-0.192979119,"Additivity","Additivity","Additivity","Additivity","Additivity","Synergy","Different","Different","Different","Ciprofloxacin-Triclosan","other membrane-quinolones","DNA-membrane","anti-infective-antibiotic",0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,"S","S","S","S","S","S",0.04,0.04,0.04,0.04,0.04,0.04,1,1,0.98,1,0.97,0.99,"R","R","R","R","R","R",4,0.00125176157439658,"Additivity-Synergy","connected",0,0,0,0,0,0,0,0,-1,-1
"Ciprofloxacin_Trimethoprim","Ciprofloxacin","Trimethoprim",4,6,6,9,8,"0","Similar phylogenetic profiles","CIP","TMP","quinolones","folic acid biosynthesis","DNA","DNA","antibiotic","antibiotic",-0.094316586,0.132330419,-0.056155727,-0.06344734,-0.056818283,0.066843049,"Additivity","Antagonism","Additivity","Additivity","Additivity","Additivity","Different","Same","Same","Ciprofloxacin-Trimethoprim","folic acid biosynthesis-quinolones","DNA-DNA","antibiotic-antibiotic",0.01,0.01,0.015,0.015,1.25,0.08,0,0,0,0,0,0,"S","S","S","S","S","S",0.5,0.5,0.5,0.5,1,1,0.49,0.46,0.53,0.46,0.83,0.85,"S","S","S","S","R","R",11,0.00134096342190378,"Additivity-Antagonism","connected",0,1,1,0,1,0,0,0,0,1
"Clindamycin_Imipenem","Clindamycin","Imipenem",5,2,2,18,10,"0","Similar phylogenetic profiles","CLI","IPM","other protein synthesis inhibitor","beta-lactam","protein synthesis inhibitor","cell wall","antibiotic","antibiotic",0.067497419,0.037537234,0.06301455,-0.051553597,-0.041362725,-0.033280938,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Clindamycin-Imipenem","beta-lactam-other protein synthesis inhibitor","cell wall-protein synthesis inhibitor","antibiotic-antibiotic",2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,"R","R","S","S","R","R",0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,"S","S","S","S","S","S",12,0.00305847806406641,"Additivity","connected",0,0,1,0,0,0,0,0,0,0
"Clindamycin_Levofloxacin","Clindamycin","Levofloxacin",4,8,8,18,13,"0","Similar phylogenetic profiles","CLI","LCX","other protein synthesis inhibitor","DNA gyrase","protein synthesis inhibitor","DNA","antibiotic","antibiotic",-0.026791447,0.056513934,0.037806287,0.018056642,0.049515903,0,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Clindamycin-Levofloxacin","DNA gyrase-other protein synthesis inhibitor","DNA-protein synthesis inhibitor","antibiotic-antibiotic",2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,"R","R","S","S","R","R",0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0,"S","S","S","S","S","S",8,0.00192460283307052,"Additivity","connected",0,0,1,0,0,0,0,0,0,0
"Clindamycin_Mecillinam","Clindamycin","Mecillinam",7,1,2,18,10,"0","Similar phylogenetic profiles","CLI","MEC","other protein synthesis inhibitor","beta-lactam","protein synthesis inhibitor","cell wall","antibiotic","antibiotic",-0.080675113,0.010926892,0.051627592,-0.05030455,-0.032988536,-0.056217362,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Clindamycin-Mecillinam","beta-lactam-other protein synthesis inhibitor","cell wall-protein synthesis inhibitor","antibiotic-antibiotic",2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,"R","R","S","S","R","R",0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,"S","S","S","S","R","R",5,0.00305904974808657,"Additivity","connected",0,0,1,0,0,0,0,0,0,0
"Clindamycin_Meropenem","Clindamycin","Meropenem",5,2,2,18,10,"0","Similar phylogenetic profiles","CLI","MEM","other protein synthesis inhibitor","beta-lactam","protein synthesis inhibitor","cell wall","antibiotic","antibiotic",-0.072427363,0.077026824,-0.034415981,0.067669842,0.072673394,0.039026192,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Clindamycin-Meropenem","beta-lactam-other protein synthesis inhibitor","cell wall-protein synthesis inhibitor","antibiotic-antibiotic",2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,"R","R","S","S","R","R",0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,"S","S","S","S","S","S",8,0.00192460283307052,"Additivity","connected",0,0,1,0,0,0,0,0,0,0
"Clindamycin_Metformin","Clindamycin","Metformin",3,2,2,18,10,"0","Similar phylogenetic profiles","CLI","MF","other protein synthesis inhibitor","human drug","protein synthesis inhibitor","human","antibiotic","human-targeted drug",0.060065806,0.081846532,0.054584726,0.102437632,0.025238912,0.018441639,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Different","Clindamycin-Metformin","human drug-other protein synthesis inhibitor","human-protein synthesis inhibitor","antibiotic-human-targeted drug",2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,"R","R","S","S","R","R",12916,12916,38748,38748,25832,25832,0.54,0.27,0.67,0.63,0.48,0.58,"S","S","S","S","S","S",2,0.00359381023086882,"Additivity","connected",0,0,0,0,0,0,0,0,0,0
"Clindamycin_Moxifloxacin","Clindamycin","Moxifloxacin",4,8,8,18,13,"0","Similar phylogenetic profiles","CLI","MXF","other protein synthesis inhibitor","quinolones","protein synthesis inhibitor","DNA","antibiotic","antibiotic",-0.019534871,-0.033177839,0.052990426,-0.072172896,0.027789723,0.018378878,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Clindamycin-Moxifloxacin","other protein synthesis inhibitor-quinolones","DNA-protein synthesis inhibitor","antibiotic-antibiotic",2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,"R","R","S","S","R","R",0.08,0.08,0.08,0.08,0.5,0.5,0,0.04,0.64,0,0.96,0.67,"S","S","S","S","R","S",5,0.00305904974808657,"Additivity","connected",0,0,1,0,0,0,0,0,0,0
"Clindamycin_Novobiocin","Clindamycin","Novobiocin",4,8,8,18,13,"0","Similar phylogenetic profiles","CLI","NVB","other protein synthesis inhibitor","quinolones","protein synthesis inhibitor","DNA","antibiotic","antibiotic",-0.031915927,0.082663486,0.07380934,-0.049906031,0.033436359,0.044210002,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Clindamycin-Novobiocin","other protein synthesis inhibitor-quinolones","DNA-protein synthesis inhibitor","antibiotic-antibiotic",2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,"R","R","S","S","R","R",20,20,20,20,20,20,0.45,0,0.85,0.28,0.86,0.91,"S","S","R","S","R","R",5,0.00305904974808657,"Additivity","connected",0,0,1,0,0,0,0,0,0,0
"Clindamycin_Penicillin G","Clindamycin","Penicillin G",5,2,2,18,10,"0","Similar phylogenetic profiles","CLI","PEN","other protein synthesis inhibitor","beta-lactam","protein synthesis inhibitor","cell wall","antibiotic","antibiotic",0.055055995,0.039546184,0.056892785,0.085010397,-0.074803247,-0.03768255,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Clindamycin-Penicillin G","beta-lactam-other protein synthesis inhibitor","cell wall-protein synthesis inhibitor","antibiotic-antibiotic",2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,"R","R","S","S","R","R",5,5,1.25,1.25,10,10,0.8,0.67,0.62,0.62,0.93,0.91,"R","S","S","S","R","R",1,0.000629838166986853,"Additivity","connected",0,0,1,0,0,0,0,0,0,0
"Clindamycin_Piperacillin","Clindamycin","Piperacillin",5,2,2,18,10,"0","Similar phylogenetic profiles","CLI","PIP","other protein synthesis inhibitor","beta-lactam","protein synthesis inhibitor","cell wall","antibiotic","antibiotic",-0.08202569,-0.126996662,0.095003989,0.059727775,0.068208328,0.023410566,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Clindamycin-Piperacillin","beta-lactam-other protein synthesis inhibitor","cell wall-protein synthesis inhibitor","antibiotic-antibiotic",2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,"R","R","S","S","R","R",0.3,0.3,1,1,2,3,0.8,0.68,0.6,0.62,0,0,"R","S","S","S","S","S",4,0.00125176157439658,"Additivity","connected",0,0,1,0,0,0,0,0,0,0
"Clindamycin_Sulfamonomethoxine","Clindamycin","Sulfamonomethoxine",3,3,3,18,10,"0","Similar phylogenetic profiles","CLI","SMM","other protein synthesis inhibitor","folic acid biosynthesis","protein synthesis inhibitor","DNA","antibiotic","antibiotic",-0.055726112,0.035883684,0.036555599,0.066512624,0.043993556,0.032022733,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Clindamycin-Sulfamonomethoxine","folic acid biosynthesis-other protein synthesis inhibitor","DNA-protein synthesis inhibitor","antibiotic-antibiotic",2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,"R","R","S","S","R","R",50,50,50,50,100,100,0.88,0.88,0.85,0.88,0.77,0.81,"R","R","R","R","R","R",8,0.00192460283307052,"Additivity","connected",0,0,1,0,0,0,0,0,0,0
"Clindamycin_Triclosan","Clindamycin","Triclosan",3,13,13,18,16,"0","Similar phylogenetic profiles","CLI","TRI","other protein synthesis inhibitor","other membrane","protein synthesis inhibitor","membrane","antibiotic","anti-infective",-0.033673336,0.007752397,-0.052317253,-0.076393306,-0.011788703,-0.047108532,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Different","Clindamycin-Triclosan","other membrane-other protein synthesis inhibitor","membrane-protein synthesis inhibitor","anti-infective-antibiotic",2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,"R","R","S","S","R","R",0.04,0.04,0.04,0.04,0.04,0.04,1,1,0.98,1,0.97,0.99,"R","R","R","R","R","R",3,0.00164627036677758,"Additivity","connected",0,0,0,0,0,0,0,0,0,0
"Clindamycin_Trimethoprim","Clindamycin","Trimethoprim",2,7,7,18,12,"0","Similar phylogenetic profiles","CLI","TMP","other protein synthesis inhibitor","folic acid biosynthesis","protein synthesis inhibitor","DNA","antibiotic","antibiotic",-0.150788294,-0.092744549,0.114049257,-0.047730224,0.027613376,0.047854523,"Synergy","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Clindamycin-Trimethoprim","folic acid biosynthesis-other protein synthesis inhibitor","DNA-protein synthesis inhibitor","antibiotic-antibiotic",2,2,2,2,2,2,0.78,0.76,0.6,0.64,0.87,0.9,"R","R","S","S","R","R",0.5,0.5,0.5,0.5,1,1,0.49,0.46,0.53,0.46,0.83,0.85,"S","S","S","S","R","R",5,0.00305904974808657,"Additivity-Synergy","connected",0,0,1,-1,0,0,0,0,0,-1
"Imipenem_Levofloxacin","Imipenem","Levofloxacin",5,2,2,8,5,"0","Similar phylogenetic profiles","IPM","LCX","beta-lactam","DNA gyrase","cell wall","DNA","antibiotic","antibiotic",0.030146338,0.0596189,0.109153579,0.050599162,0.032635269,0,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Imipenem-Levofloxacin","beta-lactam-DNA gyrase","cell wall-DNA","antibiotic-antibiotic",0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,"S","S","S","S","S","S",0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0,"S","S","S","S","S","S",2,0.00359381023086882,"Additivity","connected",0,0,1,0,0,0,0,0,0,0
"Imipenem_Mecillinam","Imipenem","Mecillinam",6,1,1,2,2,"0","Similar phylogenetic profiles","IPM","MEC","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",-0.161474879,-0.054811945,-0.193798007,-0.039099214,0.065690681,0.046164391,"Additivity","Additivity","Synergy","Additivity","Additivity","Additivity","Same","Same","Same","Imipenem-Mecillinam","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,"S","S","S","S","S","S",0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,"S","S","S","S","R","R",3,0.00164627036677758,"Additivity-Synergy","connected",1,1,1,0,0,-1,0,0,0,-1
"Imipenem_Meropenem","Imipenem","Meropenem",6,1,1,2,2,"0","Similar phylogenetic profiles","IPM","MEM","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",0.043372087,-0.18696158,-0.449210376,-0.150327204,0.091958374,0.0144448,"Additivity","Additivity","Synergy","Additivity","Antagonism","Additivity","Same","Same","Same","Imipenem-Meropenem","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,"S","S","S","S","S","S",0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,"S","S","S","S","S","S",13,0.00728211401611587,"Additivity-Antagonism-Synergy","connected",1,1,1,0,0,-1,0,1,0,0
"Imipenem_Metformin","Imipenem","Metformin",6,1,2,2,2,"0","Similar phylogenetic profiles","IPM","MF","beta-lactam","human drug","cell wall","human","antibiotic","human-targeted drug",0.069277269,0.056932163,0.073458803,0.032644056,-0.167607629,0.162494337,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Different","Imipenem-Metformin","beta-lactam-human drug","cell wall-human","antibiotic-human-targeted drug",0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,"S","S","S","S","S","S",12916,12916,38748,38748,25832,25832,0.54,0.27,0.67,0.63,0.48,0.58,"S","S","S","S","S","S",1,0.000629838166986853,"Additivity","connected",0,0,0,0,0,0,0,0,0,0
"Imipenem_Moxifloxacin","Imipenem","Moxifloxacin",5,2,2,8,5,"0","Similar phylogenetic profiles","IPM","MXF","beta-lactam","quinolones","cell wall","DNA","antibiotic","antibiotic",0.143071364,0.096001253,0.217666629,0.049052104,-0.077299728,-0.069209125,"Additivity","Additivity","Antagonism","Additivity","Additivity","Additivity","Different","Different","Same","Imipenem-Moxifloxacin","beta-lactam-quinolones","cell wall-DNA","antibiotic-antibiotic",0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,"S","S","S","S","S","S",0.08,0.08,0.08,0.08,0.5,0.5,0,0.04,0.64,0,0.96,0.67,"S","S","S","S","R","S",2,0.00359381023086882,"Additivity-Antagonism","connected",0,0,1,0,0,1,0,0,0,1
"Imipenem_Novobiocin","Imipenem","Novobiocin",6,2,2,8,5,"0","Similar phylogenetic profiles","IPM","NVB","beta-lactam","quinolones","cell wall","DNA","antibiotic","antibiotic",-0.046204166,-0.082309638,-0.084773034,-0.05519997,-0.083904471,-0.021116997,"Additivity","Additivity","Synergy","Additivity","Additivity","Additivity","Different","Different","Same","Imipenem-Novobiocin","beta-lactam-quinolones","cell wall-DNA","antibiotic-antibiotic",0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,"S","S","S","S","S","S",20,20,20,20,20,20,0.45,0,0.85,0.28,0.86,0.91,"S","S","R","S","R","R",3,0.00164627036677758,"Additivity-Synergy","connected",0,0,1,0,0,-1,0,0,0,-1
"Imipenem_Penicillin G","Imipenem","Penicillin G",6,1,1,2,2,"0","Similar phylogenetic profiles","IPM","PEN","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",0.044969829,-0.028232779,-0.08263196,-0.083342967,-0.040171339,0.074942716,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Same","Same","Same","Imipenem-Penicillin G","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,"S","S","S","S","S","S",5,5,1.25,1.25,10,10,0.8,0.67,0.62,0.62,0.93,0.91,"R","S","S","S","R","R",10,0.00194983040453027,"Additivity","connected",1,1,1,0,0,0,0,0,0,0
"Imipenem_Piperacillin","Imipenem","Piperacillin",6,1,1,2,2,"0","Similar phylogenetic profiles","IPM","PIP","beta-lactam","beta-lactam","cell wall","cell wall","antibiotic","antibiotic",0.036917094,-0.101216412,-0.144504898,-0.0625373,0.568022711,-0.063515816,"Additivity","Additivity","Additivity","Additivity","Antagonism","Additivity","Same","Same","Same","Imipenem-Piperacillin","beta-lactam-beta-lactam","cell wall-cell wall","antibiotic-antibiotic",0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,"S","S","S","S","S","S",0.3,0.3,1,1,2,3,0.8,0.68,0.6,0.62,0,0,"R","S","S","S","S","S",2,0.00359381023086882,"Additivity-Antagonism","connected",1,1,1,0,0,0,0,1,0,1
"Imipenem_Sulfamonomethoxine","Imipenem","Sulfamonomethoxine",5,2,2,3,2,"0","Similar phylogenetic profiles","IPM","SMM","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic",0.056073715,-0.077024387,-0.071210632,-0.064659168,0.027881695,0.030955533,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Imipenem-Sulfamonomethoxine","beta-lactam-folic acid biosynthesis","cell wall-DNA","antibiotic-antibiotic",0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,"S","S","S","S","S","S",50,50,50,50,100,100,0.88,0.88,0.85,0.88,0.77,0.81,"R","R","R","R","R","R",10,0.00194983040453027,"Additivity","connected",0,0,1,0,0,0,0,0,0,0
"Imipenem_Triclosan","Imipenem","Triclosan",5,2,2,13,7,"0","Similar phylogenetic profiles","IPM","TRI","beta-lactam","other membrane","cell wall","membrane","antibiotic","anti-infective",0.022938866,-0.105416764,-0.024960561,-0.02091495,-0.251783446,-0.036194732,"Additivity","Additivity","Additivity","Additivity","Synergy","Additivity","Different","Different","Different","Imipenem-Triclosan","beta-lactam-other membrane","cell wall-membrane","anti-infective-antibiotic",0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,"S","S","S","S","S","S",0.04,0.04,0.04,0.04,0.04,0.04,1,1,0.98,1,0.97,0.99,"R","R","R","R","R","R",3,0.00164627036677758,"Additivity-Synergy","connected",0,0,0,0,0,0,0,-1,0,-1
"Imipenem_Trimethoprim","Imipenem","Trimethoprim",5,2,2,7,4,"0","Similar phylogenetic profiles","IPM","TMP","beta-lactam","folic acid biosynthesis","cell wall","DNA","antibiotic","antibiotic",-0.209926531,-0.066841182,0.165331485,0.139693916,-0.026139103,0.045790427,"Synergy","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Imipenem-Trimethoprim","beta-lactam-folic acid biosynthesis","cell wall-DNA","antibiotic-antibiotic",0.125,0.125,0.125,0.125,3,0.75,0.28,0.44,0.07,0,0,0,"S","S","S","S","S","S",0.5,0.5,0.5,0.5,1,1,0.49,0.46,0.53,0.46,0.83,0.85,"S","S","S","S","R","R",4,0.00125176157439658,"Additivity-Synergy","connected",0,0,1,-1,0,0,0,0,0,-1
"Levofloxacin_Mecillinam","Levofloxacin","Mecillinam",7,1,2,8,5,"0","Similar phylogenetic profiles","LCX","MEC","DNA gyrase","beta-lactam","DNA","cell wall","antibiotic","antibiotic",-0.049779365,0,0.140771768,0.067850078,0.055945681,0.042825499,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Levofloxacin-Mecillinam","beta-lactam-DNA gyrase","cell wall-DNA","antibiotic-antibiotic",0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0,"S","S","S","S","S","S",0.06,0.06,0.06,0.06,2,2,0,0,0,0,0.9,0.91,"S","S","S","S","R","R",8,0.00192460283307052,"Additivity","connected",0,0,1,0,0,0,0,0,0,0
"Levofloxacin_Meropenem","Levofloxacin","Meropenem",5,2,2,8,5,"0","Similar phylogenetic profiles","LCX","MEM","DNA gyrase","beta-lactam","DNA","cell wall","antibiotic","antibiotic",-0.038746567,-0.077398459,0.019946569,-0.104727264,0.050399944,0.206758073,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Levofloxacin-Meropenem","beta-lactam-DNA gyrase","cell wall-DNA","antibiotic-antibiotic",0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0,"S","S","S","S","S","S",0.08,0.04,0.08,0.04,1,0.25,0.09,0.12,0,0,0,0,"S","S","S","S","S","S",5,0.00305904974808657,"Additivity","connected",0,0,1,0,0,0,0,0,0,0
"Levofloxacin_Metformin","Levofloxacin","Metformin",4,2,2,8,5,"0","Similar phylogenetic profiles","LCX","MF","DNA gyrase","human drug","DNA","human","antibiotic","human-targeted drug",0.087597688,0.040003204,0.002896218,-0.401180821,-0.324083996,0.066126276,"Additivity","Additivity","Additivity","Synergy","Synergy","Additivity","Different","Different","Different","Levofloxacin-Metformin","DNA gyrase-human drug","DNA-human","antibiotic-human-targeted drug",0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0,"S","S","S","S","S","S",12916,12916,38748,38748,25832,25832,0.54,0.27,0.67,0.63,0.48,0.58,"S","S","S","S","S","S",13,0.00728211401611587,"Additivity-Synergy","connected",0,0,0,0,0,0,-1,-1,0,-2
"Levofloxacin_Moxifloxacin","Levofloxacin","Moxifloxacin",2,6,6,10,8,"0","Similar phylogenetic profiles","LCX","MXF","DNA gyrase","quinolones","DNA","DNA","antibiotic","antibiotic",-0.053733692,-0.061156371,-0.00533784,-0.142391379,0.05068765,-0.25857695,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Same","Same","Levofloxacin-Moxifloxacin","DNA gyrase-quinolones","DNA-DNA","antibiotic-antibiotic",0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0,"S","S","S","S","S","S",0.08,0.08,0.08,0.08,0.5,0.5,0,0.04,0.64,0,0.96,0.67,"S","S","S","S","R","S",3,0.00164627036677758,"Additivity","connected",0,1,1,0,0,0,0,0,0,0
"Levofloxacin_Novobiocin","Levofloxacin","Novobiocin",2,6,6,10,8,"0","Similar phylogenetic profiles","LCX","NVB","DNA gyrase","quinolones","DNA","DNA","antibiotic","antibiotic",0.184754575,0.104059785,-0.037085722,0,-0.061202629,0.065111027,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Same","Same","Levofloxacin-Novobiocin","DNA gyrase-quinolones","DNA-DNA","antibiotic-antibiotic",0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0,"S","S","S","S","S","S",20,20,20,20,20,20,0.45,0,0.85,0.28,0.86,0.91,"S","S","R","S","R","R",2,0.00359381023086882,"Additivity","connected",0,1,1,0,0,0,0,0,0,0
"Levofloxacin_Penicillin G","Levofloxacin","Penicillin G",5,2,2,8,5,"0","Similar phylogenetic profiles","LCX","PEN","DNA gyrase","beta-lactam","DNA","cell wall","antibiotic","antibiotic",0.021623619,0.040352782,0.072296982,0.118854798,0.029297659,0,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Different","Same","Levofloxacin-Penicillin G","beta-lactam-DNA gyrase","cell wall-DNA","antibiotic-antibiotic",0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0,"S","S","S","S","S","S",5,5,1.25,1.25,10,10,0.8,0.67,0.62,0.62,0.93,0.91,"R","S","S","S","R","R",2,0.00359381023086882,"Additivity","connected",0,0,1,0,0,0,0,0,0,0
"Levofloxacin_Piperacillin","Levofloxacin","Piperacillin",5,2,2,8,5,"0","Similar phylogenetic profiles","LCX","PIP","DNA gyrase","beta-lactam","DNA","cell wall","antibiotic","antibiotic",-0.063863291,-0.080036674,0.090987323,0.009692382,-0.106885105,0,"Additivity","Additivity","Additivity","Additivity","Synergy","Additivity","Different","Different","Same","Levofloxacin-Piperacillin","beta-lactam-DNA gyrase","cell wall-DNA","antibiotic-antibiotic",0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0,"S","S","S","S","S","S",0.3,0.3,1,1,2,3,0.8,0.68,0.6,0.62,0,0,"R","S","S","S","S","S",4,0.00125176157439658,"Additivity-Synergy","connected",0,0,1,0,0,0,0,-1,0,-1
"Levofloxacin_Sulfamonomethoxine","Levofloxacin","Sulfamonomethoxine",2,3,3,8,6,"0","Similar phylogenetic profiles","LCX","SMM","DNA gyrase","folic acid biosynthesis","DNA","DNA","antibiotic","antibiotic",-0.035786666,-0.003777611,0.054128867,0.029093889,-0.059760189,0,"Additivity","Additivity","Additivity","Additivity","Additivity","Additivity","Different","Same","Same","Levofloxacin-Sulfamonomethoxine","DNA gyrase-folic acid biosynthesis","DNA-DNA","antibiotic-antibiotic",0.04,0.04,0.08,0.08,2,0.5,0,0,0,0,0,0,"S","S","S","S","S","S",50,50,50,50,100,100,0.88,0.88,0.85,0.88,0.77,0.81,"R","R","R","R","R","R",8,0.00192460283307052,"Additivity","connected",0,1,1,0,0,0,0,0,0,0
