"compound","cid"
"IRIGENIN TRIMETHYL ETHER",4303569
"IRIGENIN, 7-BENZYL ETHER",6063287
"IRIGINOL HEXAACEATATE",3505890
"ISOBERGAPTENE",68082
"ISOBUTYLMETHYLXANTHINE",3758
"Isocarboxazid",3759
"Isoconazole",3760
"Isocorydine (+)",10143
"Isocorydine HCl",17751017
"ISOETHARINE MESYLATE",23702
"Isoetharine mesylate salt",23702
"ISOFLUPREDNONE ACETATE",45006152
"Isoflupredone acetate",224246
"ISOFORMONONETIN",3764
"Isoguvacine hydrochloride",155107
"ISOGUVACINE HYDROCHLORIDE",155107
"ISOKOBUSONE",3860435
"Isoliquiritigenin",638278
"ISOLIQUIRITIGENIN",638278
"Isometheptene mucate",15605556
"Isoniazid",3767
"ISONIAZID",3767
"Isonipecotic acid",3773
"ISOPEONOL",529402
"ISOPIMPINELLIN",68079
"Isopropamide iodide",6284
"ISOPROPAMIDE IODIDE",6284
"ISOPROTERENOL HYDROCHLORIDE",5807
"Isopyrin hydrochloride",83592
"Isoquercitrine",NA
"Isoquinoline, 6,7-dimethoxy-1-methyl-1,2,3,4-tetrahydro, hydrochloride",6420035
"ISORESERPINE",5701996
"Isoreserpine, (-)-",NA
"Isorhamnetine-3-O-glucoside",NA
"Isorhamnetine-3-O-rutinoside",NA
"Isorhoifoline",9851181
"ISOROTENONE",6453092
"ISOSAFROLE",637796
"Isosakuranetin",160481
"Isoscopoletine",69894
"Isosorbide dinitrate",6883
"ISOSORBIDE DINITRATE",6883
"ISOSORBIDE MONONITRATE",27661
"ISOTECTORIGENIN, 7-METHYL ETHER",6708795
"Isotetrandrine",457825
"Isotharine mesylate",23702
"Isotretinoin",5282379
"ISOTRETINON",5282379
"Isovitexin",162350
"Isoxanthopterin",135398700
"Isoxicam",54677972
"ISOXICAM",54677972
"Isoxsuprine hydrochloride",11368
"ISOXSUPRINE HYDROCHLORIDE",11368
"Isradipine",3784
"ITRACONAZOLE",3793
"Ivermectin",6321424
"IVERMECTIN",6321424
"Jasmonic acid",5281166
"Jervine",10098
"JL-18",3802
"Josamycin",5282165
"JUAREZIC ACID",1549512
"JUGLONE",3806
"JWH-015",4273754
"K 185",5311198
"K114",44828481
"Kaempferol",5280863
"Kaempferol-3-O-glucoside",5282102
"Kaempferol-7-neohesperidoside",5483905
"Kahweol",114778
"Kainic acid",10255
"KAINIC ACID",10255
"Kanamycin",6032
"Kanamycin A sulfate",441374
"KANAMYCIN A SULFATE",441374
"Karakoline",441742
"KARANJIN",100633
"KASUGAMYCIN HYDROCHLORIDE",88045
"Kavain (+/-)",NA
"Kawain",5281565
"Kenpaullone",3820
"Kenpaulone",NA
"Ketanserin tartrate",135348
"Ketanserin tartrate hydrate",6420005
"Ketoconazole",456201
"KETOCONAZOLE",456201
"Ketopinic acid",297888
"Ketoprofen",3825
"KETOPROFEN",3825
"Ketorolac tris salt",84003
"Ketorolac tromethamine",84003
"KETOROLAC TROMETHAMINE",84003
"Ketotifen fumarate",5282408
"KETOTIFEN FUMARATE",5282408
"KHAYANTHONE",6708528
"KHAYASIN",6708530
"KHAYASIN C",6708560
"Khellin",3828
"KHIVORIN",21596331
"Kinetin",3830
"KINETIN",3830
"KINETIN RIBOSIDE",20345
"KOBUSONE",6710676
"KUHLMANNIN",4412068
"KYNURAMINE",9692
"Kynurenic acid",3845
"KYNURENIC ACID",3845
"KYNURENINE",846
"L(-)-Norepinephrine bitartrate",11957447
"L(-)-vesamicol hydrochloride",212231
"L(+/-)-ALLIIN",NA
"L-162,313",6603900
"L-165,041",6603901
"L-2-aminoadipic acid",92136
"L-3,4-Dihydroxyphenylalanine",6047
"L-3,4-Dihydroxyphenylalanine methyl ester hydrochloride",10131132
"L-368,899 hydrochloride",56972193
"L-655,708",5311203
"L-687,384 hydrochloride",11957591
"L-701,324",54682505
"L-703,606 oxalate",3851
"L-732,138",132837
"L-733,060 hydrochloride",11957600
"L-741,626",133633
"L-745,870 hydrochloride",11957618
"L-750,667 trihydrochloride",11957592
"L-765,314",10098248
"Labetalol hydrochloride",71412
"LABETALOL HYDROCHLORIDE",71412
"LACCAIC ACID A",5491415
"Lactobionic acid",7314
"LAGOCHILIN",7061097
"Lagochiline",3482911
"L-ALANINOL",80307
"L-allylglycine",167529
"L-alpha-Methyl DOPA",38853
"L-alpha-Methyl-p-tyrosine",441350
"Lamotrigine",3878
"LAMOTRIGINE",3878
"Lanatoside C",656630
"LANATOSIDE C",656630
"Lansoprazole",3883
"LANSOPRAZOLE",3883
"LAPACHOL",3884
"Lapachone, b -",NA
"Lapidine",71312609
"Lapiferine",13915435
"LAPPACONITINE",5281279
"Lappaconitine",5281279
"L-Arginine",6322
"LARIXINIC ACID",8369
"LARIXOL",6708759
"LARIXOL ACETATE",NA
"Lasalocid A Na",NA
"LASALOCID SODIUM",6426773
"Lasalocid sodium salt",6426773
"L-Aspartic acid",5960
"LATHOSTEROL",65728
"Laudanosine (R,S)",15548
"Laudanosoline HBr",NA
"Lavendustin A",3894
"Lavendustin B",3895
"LAWSONE",6755
"L-azetidine-2-carboxylic acid",16486
"L-BUTHIONINE SULFOXIMINE",119565
"L-Buthionine-sulfoximine",119565
"L-Canavanine",439202
"L-Canavanine sulfate",11957500
"L-Cycloserine",449215
"L-Cysteinesulfinic Acid",1549098
"L-DEOXYALLIIN",9793905
"LE 300",4350931
"LECANORIC ACID",99613
"Leflunomide",3899
"LEOIDIN",3503223
"Lercanidipine hydrochloride hemihydrate",157917
"Letrozole",3902
"Leucomisine",167683
"LEUCOVORIN CALCIUM",135403647
"LEVALBUTEROL HYDROCHLORIDE",123601
"Levallorphan tartrate",5464111
"Levamisole hydrochloride",27944
"LEVAMISOLE HYDROCHLORIDE",27944
"Levetiracetam",5284583
"LEVOBUNOLOL HYDROCHLORIDE",5284409
"Levocabastine hydrochloride",54384
"LEVOCARNITINE",10917
"LEVOCARNITINE PROPIONATE HYDROCHLORIDE",157836
"Levodopa",6047
"LEVODOPA",6047
"LEVOFLOXACIN",149096
"Levonordefrin",164739
"LEVONORDEFRIN",164739
"Levopropoxyphene napsylate",16051927
"LEVOTHYROXINE",5819
"LEVULINIC ACID,  3-BENZYLIDENYL-",5951068
"LFM-A13",54676905
"L-Glutamic acid hydrochloride",2723891
"L-Glutamic acid, N-phthaloyl-",92225
"L-Glutamine",5961
"L-Histidine hydrochloride",66091
"L-Hyoscyamine",154417
"Lidocaine hydrochloride",6314
"LIDOCAINE HYDROCHLORIDE",6314
"Lidocaïne hydrochloride",NA
"Lidocaine N-ethyl bromide quaternary salt",9884487
"Lidocaine N-methyl hydrochloride",5014
"Lidoflazine",3926
"Limonin",179651
"LIMONIN",179651
"LINAMARIN",11128
"Lincomycin",3000540
"Lincomycin hydrochloride",64710
"LINCOMYCIN HYDROCHLORIDE",64710
"LINDANE",727
"Linopirdine",3932
"Liothyronine",5920
"LIOTHYRONINE",5920
"LIOTHYRONINE (L- isomer) SODIUM",23666110
"LIPOAMIDE",863
"LIQUIRITIGENIN DIMETHYL ETHER",5271544
"Lisinopril",5362119
"LISINOPRIL",5362119
"Lithium Chloride",433294
"LITHIUM CITRATE",13520
"Lithocholic acid",9903
"LITHOCHOLIC ACID",9903
"L-Leucinethiol, oxidized dihydrochloride",196663
"L-LEUCYL-L-ALANINE",81721
"L-Methionine sulfoximine",89034
"L-N6-(1-Iminoethyl)lysine hydrochloride",11957581
"LOBARIC ACID",73157
"Lobelanidine hydrochloride",6419945
"Lobeline alpha (-) hydrochoride",101615
"Lobeline HCl",46202
"LOBELINE HYDROCHLORIDE",101615
"LOBENDAZOLE",22752
"LOGANIN",87691
"Lomefloxacin hydrochloride",68624
"LOMEFLOXACIN HYDROCHLORIDE",68624
"Lonidamine",39562
"Loperamide hydrochloride",71420
"LOPERAMIDE HYDROCHLORIDE",71420
"Loratadine",3957
"LORATADINE",3957
"Lorglumide sodium",23681233
"LORGLUMIDE SODIUM",23681233
"Lorglumide sodium salt",23681233
"LOSARTAN",3961
"Lovastatin",53232
"LOVASTATIN",53232
"Loxapine succinate",71399
"LOXAPINE SUCCINATE",71399
"loxoprofen",3965
"L-PHENYLALANINOL",447213
"L-Tryptophan",6305
"LUFENURON",71777
"Lumicolchicine gamma",244898
"LUPANINE PERCHLORATE",5351561
"LUPANYL ACID HYDROCHLORIDE",16667725
"LUPEOL",259846
"Lupinine",91461
"LUPININE",91461
"Luteolin",5280445
"Luteolin-3',7-di-o-glucoside",5490298
"LY-294,002 hydrochloride",11957589
"LY-310,762 hydrochloride",11957576
"LY-367,265",4605800
"Lycorine HCl",164943
"Lycorine hydrochloride",164943
"Lymecycline",54707177
"Lynestrenol",5857
"Lysergol",14987
"Madecassic acid",73412
"MADECASSIC ACID",73412
"Mafenide hydrochloride",67313
"MAFENIDE HYDROCHLORIDE",67313
"Magnolol",72300
"MANGIFERIN",5281647
"MANGOSTIN TRIMETHYL ETHER",45934201
"MANNITOL",6251
"Manool",3034394
"Maprotiline hydrochloride",71478
"MAPROTILINE HYDROCHLORIDE",71478
"Marein",6441269
"Maritimein",6450184
"MARMESIN ACETATE",6708816
"Matrine",91466
"McN-A-343",5926
"MDL 105,519",6603913
"MDL 26,630 trihydrochloride",11957639
"MDL 28170",72430
"Me-3,4-dephostatin",1607
"Mebendazole",4030
"MEBENDAZOLE",4030
"Mebeverine hydrochloride",17683
"MEBEVERINE HYDROCHLORIDE",17683
"MEBHYDROLIN NAPHTHALENESULFONATE",5702169
"Mebhydroline 1,5-naphtalenedisulfonate",22529
"Mecamylamine hydrochloride",13221
"MECAMYLAMINE HYDROCHLORIDE",13221
"MECHLORETHAMINE",4033
"MECLIZINE HYDROCHLORIDE",173612
"Meclocycline sulfosalicylate",54676538
"MECLOCYCLINE SULFOSALICYLATE",54676538
"MECLOFENAMATE SODIUM",4038
"Meclofenamic acid sodium",4038
"Meclofenamic acid sodium salt monohydrate",23663959
"Meclofenoxate hydrochloride",19379
"MECLOFENOXATE HYDROCHLORIDE",19379
"Meclozine dihydrochloride",64713
"MECYSTEINE HYDROCHLORIDE",2733208
"MEDROXYPROGESTERONE ACETATE",6279
"Medrysone",247839
"MEDRYSONE",247839
"Mefenamic acid",4044
"MEFENAMIC ACID",4044
"MEFEXAMIDE",4045
"Mefexamide hydrochloride",3083802
"MEFLOQUINE",4046
"Mefloquine hydrochloride",65329
"Megestrol acetate",11683
"MEGESTROL ACETATE",11683
"Meglumine",8567
"Melatonin",896
"MELATONIN",896
"MELENGESTROL ACETATE",250948
"MELEZITOSE",92817
"MELIBIOSE",440658
"Meloxicam",54677470
"Meloxicam sodium",4051
"Melphalan",460612
"MELPHALAN",460612
"Memantine Hydrochloride",181458
"Memantine hydrochloride",181458
"MEMANTINE HYDROCHLORIDE",181458
"Menadione",4055
"MENADIONE",4055
"MENTHOL(-)",16666
"MENTHONE",26447
"MENTHYL BENZOATE",93868
"Mepenzolate bromide",6461
"MEPENZOLATE BROMIDE",6461
"Mephenesin",4059
"MEPHENESIN",4059
"Mephentermine hemisulfate",71611
"MEPHENTERMINE SULFATE",71611
"Mephenytoin",4060
"Mephetyl tetrazole",16721111
"MEPIVACAINE HYDROCHLORIDE",66070
"Meprylcaine hydrochloride",101925
"Meptazinol hydrochloride",65483
"Merbromin",8505
"MERBROMIN",8505
"MERCAPTOPURINE",667490
"MEROGEDUNIN",6708642
"Meropenem",441130
"Mesalamine",4075
"MESALAMINE",4075
"MESNA",23662354
"Mesoridazine besylate",36207
"MESTRANOL",6291
"Mesulergine hydrochloride",155746
"METAMECONINE",230460
"METAMPICILLIN SODIUM",25195407
"Metampicillin sodium salt",25195407
"Metanephrine hydrochloride DL",102502
"METAPROTERENOL",4086
"Metaproterenol hemisulfate",441333
"Metaproterenol sulfate, orciprenaline sulfate",441333
"Metaraminol bitartrate",441414
"METARAMINOL BITARTRATE",441414
"METAXALONE",15459
"Metergoline",28693
"METERGOLINE",28693
"Metformin hydrochloride",14219
"METFORMIN HYDROCHLORIDE",14219
"Methacholine chloride",6114
"METHACHOLINE CHLORIDE",6114
"Methacycline hydrochloride",54685047
"METHACYCLINE HYDROCHLORIDE",54685047
"METHAMIDOPHOS",4096
"Methantheline bromide",5883
"Methapyrilene hydrochloride",8667
"METHAPYRILENE HYDROCHLORIDE",8667
"Methazolamide",4100
"METHAZOLAMIDE",4100
"METHENAMINE",4101
"Methiazole",6604471
"METHICILLIN SODIUM",23667627
"Methimazole",1349907
"METHIMAZOLE",1349907
"Methionine sulfoximine (L)",89034
"METHIONYL-LEUCYLPHENYLALANINE ACETATE",5702202
"Methiothepin maleate",5358812
"Methiothepin mesylate",3039995
"Methocarbamol",4107
"METHOCARBAMOL",4107
"Methoctramine tetrahydrochloride",107759
"METHOMYL",5353758
"METHOPRENE (S)",1711973
"Methotrexate",126941
"Methotrexate hydrate",165528
"METHOTREXATE(+/-)",NA
"Methotrimeprazine maleat salt",5282484
"Methoxamine hydrochloride",6081
"METHOXAMINE HYDROCHLORIDE",6081
"METHOXSALEN",4114
"Methoxy-6-harmalan",417052
"Methoxy-8-psoralen",4114
"METHOXYAMINE HYDROCHLORIDE",521874
"METHOXYCHLOR",4115
"Methoxyflavone, 5-",NA
"METHOXYVONE",4119
"METHSCOPOLAMINE BROMIDE",5459110
"METHYL 7-DESHYDROXYPYROGALLIN-4-CARBOXYLATE",5098884
"Methyl benzethonium chloride",5702238
"Methyl beta-carboline-3-carboxylate",107704
"METHYL DEOXYCHOLATE",229346
"METHYL EVERNINATE",596344
"METHYL ORSELLINATE",76658
"METHYL PARATHIONE",4130
"METHYL ROBUSTONE",3473650
"Methylatropine nitrate",657381
"METHYLATROPINE NITRATE",657381
"METHYLBENZETHONIUM CHLORIDE",5702238
"Methylcarbamylcholine chloride",84605
"METHYLDOPA",38853
"Methyldopa (L,-)",38853
"Methyldopate hydrochloride",17276
"METHYLDOPATE HYDROCHLORIDE",17276
"METHYLENE BLUE",6099
"Methylergometrine maleate",5281072
"Methylergonovine",8226
"Methylergonovine maleate",5281072
"METHYLERGONOVINE MALEATE",5281072
"Methylhydantoin-5-(D)",1615267
"Methylhydantoin-5-(L)",6419931
"Methyllycaconitine citrate",90479749
"METHYLMETHANE SULFONATE",4156
"METHYLPHENIDATE HYDROCHLORIDE",9280
"METHYLPREDNISOLONE",6741
"METHYLPREDNISOLONE SODIUM SUCCINATE",23680530
"Methylprednisolone, 6-alpha",6741
"METHYLTHIOURACIL",667493
"METHYLXANTHOXYLIN",326186
"Methysergide maleate",5281073
"Methysticin",5281567
"Meticrane",4165
"Metixene hydrochloride",64722
"Metoclopramide hydrochloride",23659
"METOCLOPRAMIDE HYDROCHLORIDE",23659
"Metoclopramide monohydrochloride",23659
"Metolazone",4170
"METOLAZONE",4170
"METOPROLOL TARTRATE",441308
"Metoprolol-(+,-) (+)-tartrate salt",6420057
"Metrazoline oxalate",11957617
"Metrifudil",65710
"Metrizamide",443944
"Metronidazole",4173
"METRONIDAZOLE",4173
"Metyrapone",4174
"Mevalonic-D, L acid lactone",6419891
"Mevastatin",64715
"Mexiletene hydrochloride",21467
"Mexiletine hydrochloride",21467
"MEXILETINE HYDROCHLORIDE",21467
"Mezerein",24832075
"MG 624",6433339
"MHPG piperazine",NA
"MHPG sulfate potassium",23668244
"Mianserin hydrochloride",68551
"MIANSERIN HYDROCHLORIDE",68551
"Mianserine hydrochloride",68551
"Mibefradil dihydrochloride",60662
"Miconazole",4189
"MICONAZOLE NITRATE",68553
"Midodrine hydrochloride",18340
"MIDODRINE HYDROCHLORIDE",18340
"Mifepristone",55245
"MIGLITOL",441314
"Milrinone",4197
"Mimosine",3862
"MIMOSINE",3862
"Mimosine, L-",NA
"Minaprine dihydrochloride",33254
"MINAPRINE HYDROCHLORIDE",33254
"Minocycline",54675783
"Minocycline hydrochloride",54685925
"MINOCYCLINE HYDROCHLORIDE",54685925
"Minoxidil",4201
"MINOXIDIL",4201
"m-Iodobenzylguanidine hemisulfate",11957572
"Mithramycin A",163659
"Mitomycin C",5746
"MITOMYCIN C",5746
"MITOTANE",4211
"MITOXANTHRONE HYDROCHLORIDE",51082
"Mitoxantrone",4212
"Mitoxantrone dihydrochloride",51082
"Mizoribine",104762
"MK-886",3651377
"MK-912",189711
"ML 10302",5311299
"ML-7",4216
"ML-9",108047
"MNS",672296
"Moclobemide",4235
"MODAFINIL",4236
"Molindone hydrochloride",9883259
"Molsidomine",5353788
"MOLSIDOMINE",5353788
"Mometasone furoate",441336
"Monensin Na",NA
"MONENSIN SODIUM (monensin A is shown)",23682226
"Monensin sodium salt",23667299
"Monobenzone",7638
"Monocrotaline",9415
"MONOCROTALINE",9415
"MORANTEL CITRATE",5702276
"Morantel tartrate",6433951
"Moricizine hydrochloride",34632
"Morin",5281670
"MORIN",5281670
"Moroxidine hydrochloride",76621
"MOXALACTAM DISODIUM",441242
"Moxalactam disodium salt",441242
"MOXIFLOXACIN HYDROCHLORIDE",101526
"Moxisylyte hydrochloride",6420039
"Moxisylyte hydrochoride",6420039
"Moxonidine",4810
"Moxonidine hydrochloride",11231255
"MRS 1523",3661570
"MRS 1754",6603931
"MRS 1845",11538542
"MRS 2159",135484644
"MRS 2179",5311302
"MRS 2211 sodium salt hydrate",NA
"MUCIC ACID",3037582
"MUNDULONE",4587968
"MUNDULONE ACETATE",6857790
"MUPIROCIN",446596
"Muramic acid, N-acetyl",6713944
"Muscarine Cl, (+)-",NA
"Muscimol hydrobromide",205536
"MUUROLLADIE-3-ONE",3989419
"Mycophenolic acid",446541
"MYCOPHENOLIC ACID",446541
"Myosmine",442649
"MYOSMINE",442649
"Myricetin",5281672
"Myricitrin",5281673
"Myriocin",6438394
"Myristicin",4276
"N- (9-FLUORENYLMETHOXYCARBONYL)-L-LEUCINE",1549477
"N-(2-[4-(4-Chlorophenyl)piperazin-1-yl]ethyl)-3-methoxybenzamide",3626837
"N-(3,3-Diphenylpropyl)glycinamide",6603827
"N-(4-Amino-2-chlorophenyl)phthalimide",6603717
"N,N,N',N'-Tetramethylazodicarboxamide",5353800
"N,N,N-trimethyl-1-(4-trans-stilbenoxy)-2-propylammonium iodide",5840039
"N,N-Dihexyl-2-(4-fluorophenyl)indole-3-acetamide",132496
"N,N-Dipropyl-5-carboxamidotryptamine maleate",10158019
"N,N-HEXAMETHYLENEAMILORIDE",1794
"N^G,N^G-Dimethylarginine hydrochloride",9964741
"N6-2-(4-Aminophenyl)ethyladenosine",4397
"N6-2-Phenylethyladenosine",9929340
"N6-Cyclohexyladenosine",9841284
"N6-Cyclopentyladenosine",657378
"N6-methyladenosine",102175
"N6-Methyladenosine",102175
"N6-Phenyladenosine",101430
"Nabumetone",4409
"NABUMETONE",4409
"N-Acetyl-5-hydroxytryptamine",903
"N-Acetyl-DL-homocysteine Thiolactone",14520
"N-Acetyldopamine monohydrate",100526
"N-Acetyl-L-Cysteine",12035
"N-Acetyl-L-leucine",70912
"N-ACETYLNEURAMIC ACID",445063
"N-Acetylprocainamide hydrochloride",71417
"N-ACETYLPROLINE",66141
"N-Acetyltryptamine",70547
"Nadide",5892
"NADIDE",5892
"Nadifloxacin",4410
"Nadolol",39147
"NADOLOL",39147
"NADPH tetrasodium",11957652
"NAFCILLIN SODIUM",23667630
"Nafcillin sodium salt monohydrate",23704143
"Nafronyl oxalate",312915
"NAFRONYL OXALATE",312915
"Naftifine hydrochloride",5281098
"Naftopidil dihydrochloride",11957660
"Nalbuphine hydrochloride",5360733
"NALBUPHINE HYDROCHLORIDE",5360733
"Nalidixic acid",4421
"NALIDIXIC ACID",4421
"Nalidixic acid sodium",3864541
"Naloxonazine dihydrochloride",11957656
"Naloxone benzoylhydrazone",9601084
"Naloxone hydrochloride",5464092
"NALOXONE HYDROCHLORIDE",5464092
"Naltrexone hydrochloride",5485201
"NALTREXONE HYDROCHLORIDE",5485201
"Naltrexone hydrochloride dihydrate",16219735
"Naltriben methanesulfonate",11957658
"Naltrindole hydrochloride",24840086
"NAN-190 hydrobromide",107966
"Nandrolone",9904
"Napelline",441749
"Naphazoline hydrochloride",11079
"NAPHAZOLINE HYDROCHLORIDE",11079
"Naproxen",156391
"NAPROXEN(+)",156391
"NAPROXOL",3032818
"Na-p-Tosyl-L-lysine chloromethyl ketone hydrochloride",73093
"N-arachidonylglycine",5283389
"Narasin",65452
"Naringenin",932
"NARINGENIN",932
"Naringenine",932
"Naringin",442428
"NARINGIN",442428
"Naringin hydrate",6419948
"Narirutin",442431
"NATAMYCIN",5284447
"NATEGLINIDE",5311309
"NBI 27914",176157
"NBQX disodium",6098006
"N-Bromoacetamide",4353
"NCS-356",5794315
"NCS-382",5875451
"Nefiracetam",71157
"NEFOPAM",4450
"Nefopam hydrochloride",155290
"Neohesperidin",442439
"NEOHESPERIDIN DIHYDROCHALCONE",30231
"Neomycin sulfate",197162
"NEOMYCIN SULFATE",197162
"Neostigmine bromide",8246
"NEOSTIGMINE BROMIDE",8246
"NEROL",643820
"NEROLIDOL",5284507
"N-Ethylmaleimide",4362
"NETILMICIN SULFATE",62115
"NF 023",6093160
"N-FORMYLMETHIONYLPHENYLALANINE",4365
"NG-Hydroxy-L-arginine acetate",123895
"NG-Monomethyl-L-arginine acetate",135242
"NG-Nitro-L-arginine",440005
"NG-Nitro-L-arginine methyl ester hydrochloride",135193
"N-HYDROXYMETHYLNICOTINAMIDE",77116
"Niacin",938
"NIACIN",938
"NIACINAMIDE",936
"Nialamide",4472
"NIALAMIDE",4472
"Nicardipine hydrochloride",41114
"NICARDIPINE HYDROCHLORIDE",41114
"Nicergoline",34040
"NICERGOLINE",34040
"Niclosamide",4477
"NICLOSAMIDE",4477
"Nicorandil",47528
"NICOTINE DITARTRATE",10434468
"Nicotine, (-)-",NA
"NICOTINYL ALCOHOL TARTRATE",93578
"Nifedipine",4485
"NIFEDIPINE",4485
"Nifenazone",4487
"NIFENAZONE",4487
"Niflumic acid",4488
"Nifuroxazide",5337997
"NIFUROXAZIDE",5337997
"Nifurtimox",6842999
"Nigericin Na",NA
"Nilutamide",4493
"NILUTAMIDE",4493
"Nimesulide",4495
"NIMESULIDE",4495
"Nimodipine",4497
"NIMODIPINE",4497
"NIMUSTINE",39214
"Nimustine hydrochloride",91657
"NIPECOTIC ACID",4498
"Niridazole",6093
"Nisoldipine",4499
"NISOLDIPINE",4499
"Nisoxetine hydrochloride",134453
"Nitrarine 2HCl",102601951
"Nitrarine dihydrochloride",6419917
"Nitrendipine",4507
"Nitrocaramiphen hydrochloride",25102587
"Nitrofural",5447130
"Nitrofurantoin",6604200
"NITROFURANTOIN",6604200
"NITROFURAZONE",5447130
"NITROMIDE",4511
"Nizatidine",3033637
"NIZATIDINE",3033637
"N-Methyl-1-deoxynojirimycin",92381
"N-METHYLANTHRANILIC ACID",67069
"N-METHYLBENZYLAMINE HYDROCHLORIDE",9855548
"N-Methyl-beta-carboline-3-carboxamide",4375
"N-Methyl-D-aspartic acid",22880
"N-METHYL-D-ASPARTIC ACID (NMDA)",22880
"N-Methyldopamine hydrochloride",86470
"N-Methylhistaprodifen dioxalate salt",51371166
"N-METHYLISOLEUCINE",560437
"NNC 55-0396",22084904
"NO-711 hydrochloride",123738
"NOBILETIN",72344
"Nocodazole",4122
"N-Oleoyldopamine",5282106
"N-Oleoylethanolamine",5283454
"N-omega-Methyl-5-hydroxytryptamine oxalate salt",260390
"Nomegestrol acetate",91668
"Nomifensine maleate",5358907
"NOMIFENSINE MALEATE",5358907
"Nomilin",72320
"Nonactin",72519
"nor-Binaltorphimine dihydrochloride",11957626
"Norcantharidin",93004
"NORCANTHARIDIN",93004
"Norcyclobenzaprine",9918
"Nordihydroguaiaretic acid from Larrea divaricata (creosote bush)",71398
"Noreleagnine",107838
"NOREPINEPHRINE",439260
"Norethindrone",6230
"NORETHINDRONE",6230
"NORETHINDRONE ACETATE",5832
"Norethynodrel",6231
"NORETHYNODREL",6231
"Norfloxacin",4539
"Norfluorocurarine",5581319
"NORGESTIMATE",6540478
"NORGESTREL",13109
"Norgestrel-(-)-D",13109
"NORHARMAN",64961
"Norharmane",64961
"NORSTICTIC ACID",5379540
"NORSTICTIC ACID PENTAACETATE",4303262
"NORSTICTIC ACID TRIACETATE",23847179
"NORTRIPTYLINE",4543
"Nortriptyline hydrochloride",441358
"Noscapine",275196
"Noscapine hydrchloride",9933439
"NOSCAPINE HYDROCHLORIDE",9933439
"Noscapine, (±)-",NA
"NOVOBIOCIN SODIUM",23663939
"Novobiocin sodium salt",54730021
"N-Phenylanthranilic acid",4386
"N-PHENYLANTHRANILIC ACID",4386
"N-p-Tosyl-L-phenylalanine chloromethyl ketone",439647
"NS 2028",4551
"NS 521 oxalate",9907039
"NS-1619",4552
"NS8593 hydrochloride",71311765
"NSC 95397",262093
"N-Succinyl-L-proline",194156
"Nylidrin hydrochloride",5702098
"NYLIDRIN HYDROCHLORIDE",5702098
"NYSTATIN",6433272
"Nystatine",6433272
"O-(Carboxymethyl)hydroxylamine hemihydrochloride",2723609
"O6-benzylguanine",4578
"O-BENZYL-l-SERINE",78457
"OBLIQUIN",6708593
"OBTUSAQUINONE",5967872
"Ochratoxin A",442530
"OCTISALATE",8364
"OCTOPAMINE HYDROCHLORIDE",102484
"ODQ",1456
"Ofloxacin",4583
"OFLOXACIN",4583
"OLANZAPINE",135398745
"Oleandomycin phosphate",72492
"OLEANDOMYCIN PHOSPHATE",72492
"OLEANOIC ACID",485707
"Oleanolic acid",10494
"Oleic Acid",445639
"Oligomycin A",5281899
"OLMESARTAN MEDOXOMIL",130881
"Olomoucine",4592
"Olprinone hydrochloride",115227
"OMEGA-3-ACID ESTERS (EPA shown)",9831415
"Omeprazole",4594
"OMEPRAZOLE",4594
"O-Methylserotonin hydrochloride",6198
"Ondansetron Hydrochloride",68647
"ONONETIN",259632
"O-Phospho-L-serine",68841
"Opipramol dihydrochloride",71587
"Org 24598 lithium salt",16219807
"Ornidazole",28061
"ORNIDAZOLE",28061
"ORPHENADRINE CITRATE",83823
"Orphenadrine hydrochloride",9568
"ORSELLINIC ACID",68072
"ORSELLINIC ACID, ETHYL ESTER",75653
"OSELTAMIVIR PHOSPHATE",78000
"Osthole",10228
"Ouabain",439501
"OUABAIN",439501
"Ouabain (-)-",NA
"OXA-22",11601888
"OXACILLIN SODIUM",23667631
"Oxalamine citrate salt",264891
"Oxantel pamoate",5281086
"OXANTEL PAMOATE",5281086
"Oxaprozin",4614
"OXAPROZIN",4614
"OXCARBAZEPINE",34312
"OXELAIDIN CITRATE",4619
"Oxethazaine",4621
"OXETHAZAINE",4621
"OXFENDAZOLE",40854
"OXIBENDAZOLE",4622
"OXICONAZOLE NITRATE",9556529
"OXIDOPAMINE HYDROCHLORIDE",160157
"Oxiracetam",4626
"Oxocafestol, 16-",NA
"Oxokahweol, 16-",NA
"Oxolinic acid",4628
"OXOLINIC ACID",4628
"Oxotremorine methiodide",3027782
"OXOTREMORINE SESQUIFUMARATE",6436473
"Oxotremorine sesquifumarate salt",6436473
"Oxprenolol hydrochloride",71172
"OXTRIPHYLLINE",656652
"Oxyacanthine sulfate",51346162
"Oxybenzone",4632
"OXYBENZONE",4632
"Oxybutynin chloride",91505
"Oxybutynin Chloride",91505
"OXYBUTYNIN CHLORIDE",91505
"Oxymetazoline hydrochloride",66259
"OXYMETAZOLINE HYDROCHLORIDE",66259
"Oxyphenbutazone",4641
"OXYPHENBUTAZONE",4641
"OXYPHENCYCLIMINE HYDROCHLORIDE",66061
"OXYPHENONIUM BROMIDE",5748
"OXYQUINOLINE HEMISULFATE",NA
"OXYTETRACYCLINE",54675779
"Oxytetracycline dihydrate",54680691
"Oxytetracycline, a -apo-",NA
"OXYTHIAMINE CHLORIDE HYDROCHLORIDE",101796
"Ozagrel hydrochloride",6438130
